team2Score,team1Score,team1,team2
97,87,Atlanta Hawks,Charlotte Hornets
106,77,Cleveland Cavaliers,Indiana Pacers
96,102,San Antonio Spurs,Phoenix Suns
90,103,Houston Rockets,Utah Jazz
96,93,New Jersey Nets,Chicago Bulls
104,102,Portland Trail Blazers,Los Angeles Lakers
94,79,New York Knicks,Miami Heat
108,83,Minnesota Timberwolves,Seattle SuperSonics
92,85,Atlanta Hawks,Charlotte Hornets
92,86,Cleveland Cavaliers,Indiana Pacers
108,101,San Antonio Spurs,Phoenix Suns
105,90,Houston Rockets,Utah Jazz
96,91,New Jersey Nets,Chicago Bulls
108,99,Portland Trail Blazers,Los Angeles Lakers
86,96,New York Knicks,Miami Heat
93,98,Minnesota Timberwolves,Seattle SuperSonics
86,77,Indiana Pacers,Cleveland Cavaliers
100,88,Phoenix Suns,San Antonio Spurs
96,64,Charlotte Hornets,Atlanta Hawks
98,90,Seattle SuperSonics,Minnesota Timberwolves
85,91,Miami Heat,New York Knicks
99,94,Los Angeles Lakers,Portland Trail Blazers
89,85,Utah Jazz,Houston Rockets
101,116,Chicago Bulls,New Jersey Nets
99,80,Phoenix Suns,San Antonio Spurs
74,80,Indiana Pacers,Cleveland Cavaliers
88,92,Seattle SuperSonics,Minnesota Timberwolves
90,85,Miami Heat,New York Knicks
99,110,Los Angeles Lakers,Portland Trail Blazers
82,91,Charlotte Hornets,Atlanta Hawks
71,93,Utah Jazz,Houston Rockets
97,84,Minnesota Timberwolves,Seattle SuperSonics
83,70,Charlotte Hornets,Chicago Bulls
81,98,New York Knicks,Miami Heat
84,70,Houston Rockets,Utah Jazz
106,92,Los Angeles Lakers,Seattle SuperSonics
93,83,New York Knicks,Indiana Pacers
83,82,San Antonio Spurs,Utah Jazz
76,78,Charlotte Hornets,Chicago Bulls
68,92,Los Angeles Lakers,Seattle SuperSonics
85,77,New York Knicks,Indiana Pacers
109,106,San Antonio Spurs,Utah Jazz
89,103,Chicago Bulls,Charlotte Hornets
119,103,Seattle SuperSonics,Los Angeles Lakers
83,76,Indiana Pacers,New York Knicks
86,64,Utah Jazz,San Antonio Spurs
80,94,Chicago Bulls,Charlotte Hornets
112,100,Seattle SuperSonics,Los Angeles Lakers
107,118,Indiana Pacers,New York Knicks
73,82,Utah Jazz,San Antonio Spurs
95,110,Los Angeles Lakers,Seattle SuperSonics
87,77,San Antonio Spurs,Utah Jazz
93,84,Charlotte Hornets,Chicago Bulls
99,88,New York Knicks,Indiana Pacers
112,77,Los Angeles Lakers,Utah Jazz
85,79,Indiana Pacers,Chicago Bulls
99,95,Los Angeles Lakers,Utah Jazz
104,98,Indiana Pacers,Chicago Bulls
98,109,Utah Jazz,Los Angeles Lakers
107,105,Chicago Bulls,Indiana Pacers
92,96,Utah Jazz,Los Angeles Lakers
96,94,Chicago Bulls,Indiana Pacers
106,87,Indiana Pacers,Chicago Bulls
92,89,Chicago Bulls,Indiana Pacers
88,83,Indiana Pacers,Chicago Bulls
88,85,Chicago Bulls,Utah Jazz
88,93,Chicago Bulls,Utah Jazz
96,54,Utah Jazz,Chicago Bulls
86,82,Utah Jazz,Chicago Bulls
81,83,Utah Jazz,Chicago Bulls
86,87,Chicago Bulls,Utah Jazz
