team2Score,team1Score,team1,team2
80,106,Charlotte Hornets,Miami Heat
78,79,Indiana Pacers,Philadelphia 76ers
87,82,Minnesota Timberwolves,San Antonio Spurs
88,86,Dallas Mavericks,Utah Jazz
106,93,Portland Trail Blazers,Los Angeles Lakers
103,90,Orlando Magic,Milwaukee Bucks
92,85,Toronto Raptors,New York Knicks
83,86,Phoenix Suns,Sacramento Kings
76,102,Charlotte Hornets,Miami Heat
86,69,Minnesota Timberwolves,San Antonio Spurs
116,98,Indiana Pacers,Philadelphia 76ers
109,98,Dallas Mavericks,Utah Jazz
103,96,Orlando Magic,Milwaukee Bucks
116,90,Phoenix Suns,Sacramento Kings
106,88,Portland Trail Blazers,Los Angeles Lakers
74,94,Toronto Raptors,New York Knicks
94,79,Miami Heat,Charlotte Hornets
94,91,Utah Jazz,Dallas Mavericks
87,92,Philadelphia 76ers,Indiana Pacers
93,84,San Antonio Spurs,Minnesota Timberwolves
121,116,Milwaukee Bucks,Orlando Magic
96,104,Sacramento Kings,Phoenix Suns
86,99,Los Angeles Lakers,Portland Trail Blazers
89,97,New York Knicks,Toronto Raptors
84,97,San Antonio Spurs,Minnesota Timberwolves
107,77,Utah Jazz,Dallas Mavericks
104,112,Milwaukee Bucks,Orlando Magic
85,88,Philadelphia 76ers,Indiana Pacers
82,89,Sacramento Kings,Phoenix Suns
100,93,New York Knicks,Toronto Raptors
83,84,Dallas Mavericks,Utah Jazz
89,93,Toronto Raptors,New York Knicks
94,78,Dallas Mavericks,San Antonio Spurs
108,105,Sacramento Kings,Los Angeles Lakers
104,92,Charlotte Hornets,Milwaukee Bucks
93,96,Toronto Raptors,Philadelphia 76ers
100,86,Dallas Mavericks,San Antonio Spurs
96,90,Sacramento Kings,Los Angeles Lakers
91,90,Charlotte Hornets,Milwaukee Bucks
90,104,San Antonio Spurs,Dallas Mavericks
97,92,Toronto Raptors,Philadelphia 76ers
102,92,Milwaukee Bucks,Charlotte Hornets
81,103,Los Angeles Lakers,Sacramento Kings
102,78,Philadelphia 76ers,Toronto Raptors
112,108,San Antonio Spurs,Dallas Mavericks
85,78,Milwaukee Bucks,Charlotte Hornets
113,119,Los Angeles Lakers,Sacramento Kings
79,84,Philadelphia 76ers,Toronto Raptors
105,87,Dallas Mavericks,San Antonio Spurs
86,94,Charlotte Hornets,Milwaukee Bucks
121,88,Toronto Raptors,Philadelphia 76ers
97,104,Milwaukee Bucks,Charlotte Hornets
101,89,Philadelphia 76ers,Toronto Raptors
90,104,Los Angeles Lakers,San Antonio Spurs
104,95,Charlotte Hornets,Milwaukee Bucks
88,87,Toronto Raptors,Philadelphia 76ers
81,88,Los Angeles Lakers,San Antonio Spurs
93,85,Milwaukee Bucks,Philadelphia 76ers
78,92,Milwaukee Bucks,Philadelphia 76ers
111,72,San Antonio Spurs,Los Angeles Lakers
80,74,Philadelphia 76ers,Milwaukee Bucks
111,82,San Antonio Spurs,Los Angeles Lakers
83,89,Philadelphia 76ers,Milwaukee Bucks
89,88,Milwaukee Bucks,Philadelphia 76ers
110,100,Philadelphia 76ers,Milwaukee Bucks
108,91,Milwaukee Bucks,Philadelphia 76ers
101,107,Philadelphia 76ers,Los Angeles Lakers
98,89,Philadelphia 76ers,Los Angeles Lakers
91,96,Los Angeles Lakers,Philadelphia 76ers
86,100,Los Angeles Lakers,Philadelphia 76ers
96,108,Los Angeles Lakers,Philadelphia 76ers
