team2Score,team1Score,team1,team2
80,90,Chicago Bulls,New York Knicks
124,108,Indiana Pacers,Philadelphia 76ers
107,111,Houston Rockets,Los Angeles Lakers
97,98,Kansas City Kings,Portland Trail Blazers
85,96,Philadelphia 76ers,Indiana Pacers
115,114,New York Knicks,Chicago Bulls
106,111,Los Angeles Lakers,Houston Rockets
119,124,Portland Trail Blazers,Kansas City Kings
121,109,Chicago Bulls,Boston Celtics
86,89,Houston Rockets,Los Angeles Lakers
125,122,Milwaukee Bucks,Philadelphia 76ers
95,104,Kansas City Kings,Portland Trail Blazers
106,97,Chicago Bulls,Boston Celtics
99,109,Milwaukee Bucks,Philadelphia 76ers
102,80,Kansas City Kings,Phoenix Suns
98,107,Houston Rockets,San Antonio Spurs
83,88,Kansas City Kings,Phoenix Suns
125,113,Houston Rockets,San Antonio Spurs
107,113,Boston Celtics,Chicago Bulls
112,99,San Antonio Spurs,Houston Rockets
93,92,Phoenix Suns,Kansas City Kings
103,108,Philadelphia 76ers,Milwaukee Bucks
103,109,Boston Celtics,Chicago Bulls
112,114,San Antonio Spurs,Houston Rockets
102,95,Phoenix Suns,Kansas City Kings
109,98,Philadelphia 76ers,Milwaukee Bucks
117,123,Houston Rockets,San Antonio Spurs
96,101,San Antonio Spurs,Houston Rockets
116,99,Milwaukee Bucks,Philadelphia 76ers
101,89,Kansas City Kings,Phoenix Suns
76,81,Phoenix Suns,Kansas City Kings
109,86,Philadelphia 76ers,Milwaukee Bucks
100,105,Houston Rockets,San Antonio Spurs
99,98,Milwaukee Bucks,Philadelphia 76ers
88,95,Kansas City Kings,Phoenix Suns
104,105,Philadelphia 76ers,Boston Celtics
78,97,Houston Rockets,Kansas City Kings
118,99,Philadelphia 76ers,Boston Celtics
88,79,Houston Rockets,Kansas City Kings
92,88,Kansas City Kings,Houston Rockets
110,100,Boston Celtics,Philadelphia 76ers
100,89,Kansas City Kings,Houston Rockets
107,105,Boston Celtics,Philadelphia 76ers
111,109,Philadelphia 76ers,Boston Celtics
88,97,Houston Rockets,Kansas City Kings
98,100,Boston Celtics,Philadelphia 76ers
91,90,Philadelphia 76ers,Boston Celtics
98,95,Houston Rockets,Boston Celtics
90,92,Houston Rockets,Boston Celtics
71,94,Boston Celtics,Houston Rockets
91,86,Boston Celtics,Houston Rockets
109,80,Houston Rockets,Boston Celtics
91,102,Boston Celtics,Houston Rockets
