team2Score,team1Score,team1,team2
104,97,Washington Bullets,Philadelphia 76ers
126,123,Cleveland Cavaliers,Boston Celtics
139,131,Portland Trail Blazers,Dallas Mavericks
141,111,San Antonio Spurs,Denver Nuggets
125,105,New Jersey Nets,Detroit Pistons
142,114,Phoenix Suns,Los Angeles Lakers
101,115,Utah Jazz,Houston Rockets
109,100,Chicago Bulls,Milwaukee Bucks
108,106,Cleveland Cavaliers,Boston Celtics
121,124,Portland Trail Blazers,Dallas Mavericks
111,113,San Antonio Spurs,Denver Nuggets
147,130,Phoenix Suns,Los Angeles Lakers
121,111,New Jersey Nets,Detroit Pistons
122,96,Utah Jazz,Houston Rockets
122,115,Chicago Bulls,Milwaukee Bucks
113,94,Washington Bullets,Philadelphia 76ers
105,98,Boston Celtics,Cleveland Cavaliers
103,119,Los Angeles Lakers,Phoenix Suns
122,109,Dallas Mavericks,Portland Trail Blazers
112,115,Denver Nuggets,San Antonio Spurs
109,107,Milwaukee Bucks,Chicago Bulls
115,116,Detroit Pistons,New Jersey Nets
112,104,Houston Rockets,Utah Jazz
118,100,Philadelphia 76ers,Washington Bullets
115,117,Boston Celtics,Cleveland Cavaliers
115,113,Dallas Mavericks,Portland Trail Blazers
97,105,Milwaukee Bucks,Chicago Bulls
116,111,Denver Nuggets,San Antonio Spurs
94,96,Houston Rockets,Utah Jazz
98,106,Philadelphia 76ers,Washington Bullets
125,101,Portland Trail Blazers,Los Angeles Lakers
133,99,Detroit Pistons,Boston Celtics
126,99,San Antonio Spurs,Denver Nuggets
97,104,Utah Jazz,Houston Rockets
105,127,Philadelphia 76ers,Milwaukee Bucks
121,114,Detroit Pistons,Boston Celtics
130,113,Utah Jazz,Denver Nuggets
134,118,Portland Trail Blazers,Los Angeles Lakers
108,112,Philadelphia 76ers,Milwaukee Bucks
131,123,Utah Jazz,Denver Nuggets
125,117,Boston Celtics,Detroit Pistons
109,104,Milwaukee Bucks,Philadelphia 76ers
126,130,Los Angeles Lakers,Portland Trail Blazers
131,123,Denver Nuggets,Utah Jazz
102,99,Boston Celtics,Detroit Pistons
121,112,Milwaukee Bucks,Philadelphia 76ers
115,107,Los Angeles Lakers,Portland Trail Blazers
118,125,Denver Nuggets,Utah Jazz
116,104,Utah Jazz,Denver Nuggets
139,120,Portland Trail Blazers,Los Angeles Lakers
130,123,Detroit Pistons,Boston Celtics
113,123,Boston Celtics,Detroit Pistons
139,122,Denver Nuggets,Los Angeles Lakers
108,93,Philadelphia 76ers,Boston Celtics
106,98,Philadelphia 76ers,Boston Celtics
114,136,Denver Nuggets,Los Angeles Lakers
118,136,Los Angeles Lakers,Denver Nuggets
94,105,Boston Celtics,Philadelphia 76ers
116,120,Los Angeles Lakers,Denver Nuggets
115,104,Boston Celtics,Philadelphia 76ers
102,100,Philadelphia 76ers,Boston Celtics
153,109,Denver Nuggets,Los Angeles Lakers
148,114,Los Angeles Lakers,Boston Celtics
102,109,Los Angeles Lakers,Boston Celtics
136,111,Boston Celtics,Los Angeles Lakers
105,107,Boston Celtics,Los Angeles Lakers
120,111,Boston Celtics,Los Angeles Lakers
100,111,Los Angeles Lakers,Boston Celtics
