team2Score,team1Score,team1,team2
97,86,Washington Wizards,Cleveland Cavaliers
89,87,Denver Nuggets,Los Angeles Clippers
111,106,Chicago Bulls,Miami Heat
122,88,Sacramento Kings,San Antonio Spurs
103,93,Memphis Grizzlies,Dallas Mavericks
92,74,Milwaukee Bucks,Detroit Pistons
88,90,Indiana Pacers,New Jersey Nets
107,102,Los Angeles Lakers,Phoenix Suns
98,87,Denver Nuggets,Los Angeles Clippers
115,108,Chicago Bulls,Miami Heat
84,89,Washington Wizards,Cleveland Cavaliers
90,75,Indiana Pacers,New Jersey Nets
128,119,Sacramento Kings,San Antonio Spurs
94,79,Memphis Grizzlies,Dallas Mavericks
109,98,Milwaukee Bucks,Detroit Pistons
93,99,Los Angeles Lakers,Phoenix Suns
109,90,Miami Heat,Chicago Bulls
94,87,Los Angeles Clippers,Denver Nuggets
107,95,New Jersey Nets,Indiana Pacers
99,92,Phoenix Suns,Los Angeles Lakers
94,93,San Antonio Spurs,Sacramento Kings
96,97,Cleveland Cavaliers,Washington Wizards
86,100,Los Angeles Clippers,Denver Nuggets
88,97,New Jersey Nets,Indiana Pacers
89,94,Dallas Mavericks,Memphis Grizzlies
124,104,Detroit Pistons,Milwaukee Bucks
93,87,Miami Heat,Chicago Bulls
99,98,Phoenix Suns,Los Angeles Lakers
102,84,San Antonio Spurs,Sacramento Kings
106,96,Cleveland Cavaliers,Washington Wizards
101,83,Denver Nuggets,Los Angeles Clippers
76,102,Dallas Mavericks,Memphis Grizzlies
99,109,Detroit Pistons,Milwaukee Bucks
92,78,Chicago Bulls,Miami Heat
92,86,Indiana Pacers,New Jersey Nets
114,97,Los Angeles Lakers,Phoenix Suns
109,98,Sacramento Kings,San Antonio Spurs
121,120,Washington Wizards,Cleveland Cavaliers
122,93,Milwaukee Bucks,Detroit Pistons
96,113,Miami Heat,Chicago Bulls
90,96,New Jersey Nets,Indiana Pacers
118,126,Phoenix Suns,Los Angeles Lakers
83,105,San Antonio Spurs,Sacramento Kings
113,114,Cleveland Cavaliers,Washington Wizards
121,90,Los Angeles Lakers,Phoenix Suns
113,86,Cleveland Cavaliers,Detroit Pistons
87,85,Dallas Mavericks,San Antonio Spurs
88,100,New Jersey Nets,Miami Heat
130,123,Los Angeles Clippers,Phoenix Suns
97,91,Cleveland Cavaliers,Detroit Pistons
91,113,Dallas Mavericks,San Antonio Spurs
111,89,New Jersey Nets,Miami Heat
97,122,Los Angeles Clippers,Phoenix Suns
91,94,Phoenix Suns,Los Angeles Clippers
92,103,Miami Heat,New Jersey Nets
86,77,Detroit Pistons,Cleveland Cavaliers
104,103,San Antonio Spurs,Dallas Mavericks
114,107,Phoenix Suns,Los Angeles Clippers
92,102,Miami Heat,New Jersey Nets
74,72,Detroit Pistons,Cleveland Cavaliers
123,118,San Antonio Spurs,Dallas Mavericks
106,105,New Jersey Nets,Miami Heat
125,118,Los Angeles Clippers,Phoenix Suns
84,86,Cleveland Cavaliers,Detroit Pistons
98,97,Dallas Mavericks,San Antonio Spurs
118,106,Phoenix Suns,Los Angeles Clippers
82,84,Detroit Pistons,Cleveland Cavaliers
86,91,San Antonio Spurs,Dallas Mavericks
79,61,Cleveland Cavaliers,Detroit Pistons
127,107,Los Angeles Clippers,Phoenix Suns
111,119,Dallas Mavericks,San Antonio Spurs
86,91,Miami Heat,Detroit Pistons
118,121,Phoenix Suns,Dallas Mavericks
92,88,Miami Heat,Detroit Pistons
105,98,Phoenix Suns,Dallas Mavericks
98,83,Detroit Pistons,Miami Heat
88,95,Dallas Mavericks,Phoenix Suns
89,78,Detroit Pistons,Miami Heat
106,86,Dallas Mavericks,Phoenix Suns
91,78,Miami Heat,Detroit Pistons
117,101,Phoenix Suns,Dallas Mavericks
95,78,Detroit Pistons,Miami Heat
93,102,Dallas Mavericks,Phoenix Suns
90,80,Miami Heat,Dallas Mavericks
99,85,Miami Heat,Dallas Mavericks
98,96,Dallas Mavericks,Miami Heat
98,74,Dallas Mavericks,Miami Heat
101,100,Dallas Mavericks,Miami Heat
92,95,Miami Heat,Dallas Mavericks
