name,per,team
Kareem Abdul-Jabbar,22.9,LAL
Alvan Adams,19.8,PHO
Mark Aguirre,21.3,DAL
Danny Ainge,14.2,BOS
Chuck Aleksinas,9.1,GSW
John Bagley,16.0,CLE
James Bailey,7.9,NYK
Thurl Bailey,14.7,UTA
Greg Ballard,14.3,WSB
Gene Banks,14.5,SAS
Ken Bannister,7.3,NYK
Charles Barkley,18.3,PHI
Kent Benson,12.6,DET
Larry Bird,26.5,BOS
Otis Birdsong,18.1,NJN
Rolando Blackman,17.7,DAL
Sam Bowie,15.7,POR
Dudley Bradley,12.2,WSB
Randy Breuer,13.4,MIL
Frank Brickowski,10.5,SEA
Junior Bridgeman,14.8,LAC
Tony Brown,10.8,IND
Michael Cage,12.5,LAC
Antoine Carr,13.0,ATL
Kenny Carr,13.4,POR
Butch Carter,11.5,NYK
Harvey Catchings,7.8,LAC
Tom Chambers,16.5,SEA
Maurice Cheeks,17.6,PHI
Steve Colter,12.5,POR
Lester Conner,13.1,GSW
Darwin Cook,14.3,NJN
Michael Cooper,12.9,LAL
Wayne Cooper,15.1,DEN
Dave Corzine,11.8,CHI
Pat Cummings,14.3,NYK
Terry Cummings,22.1,MIL
Earl Cureton,10.2,DET
Quintin Dailey,15.2,CHI
Adrian Dantley,21.9,UTA
Brad Davis,15.2,DAL
Johnny Davis,14.7,CLE
Darren Daye,15.7,WSB
James Donaldson,14.6,LAC
Larry Drew,14.7,KCK
Clyde Drexler,19.7,POR
T.R. Dunn,9.8,DEN
Mark Eaton,13.6,UTA
James Edwards,15.8,PHO
Dale Ellis,14.7,DAL
Alex English,21.6,DEN
Julius Erving,20.0,PHI
Mike Evans,15.6,DEN
Vern Fleming,12.8,IND
Sleepy Floyd,15.4,GSW
Rod Foster,12.1,PHO
World B. Free,19.7,CLE
Bill Garnett,10.7,IND
George Gervin,18.5,SAS
Artis Gilmore,20.3,SAS
Mike Glenn,15.2,ATL
Mike Gminski,16.1,NJN
Rickey Green,16.3,UTA
Dave Greenwood,9.4,CHI
Kevin Grevey,10.7,MIL
Darrell Griffith,15.6,UTA
Ernie Grunfeld,14.7,NYK
Bill Hanzlik,10.5,DEN
Derek Harper,15.2,DAL
Gerald Henderson,14.3,SEA
Roy Hinson,16.0,CLE
Craig Hodges,11.8,MIL
Lionel Hollins,11.1,HOU
Mike Holton,8.9,PHO
Phil Hubbard,16.0,CLE
Jay Humphries,10.6,PHO
Marc Iavaroni,9.6,SAS
Dan Issel,16.9,DEN
Dennis Johnson,14.4,BOS
Eddie Johnson,15.8,ATL
Eddie Johnson,16.2,KCK
Magic Johnson,23.2,LAL
Marques Johnson,14.3,LAC
Mickey Johnson,17.2,GSW
Steve Johnson,14.1,CHI
Vinnie Johnson,14.9,DET
Bobby Jones,15.2,PHI
Charles Jones,14.4,PHO
Michael Jordan,25.8,CHI
Rich Kelley,8.5,UTA
Clark Kellogg,18.9,IND
Bernard King,25.2,NYK
Bill Laimbeer,18.0,DET
Fat Lever,16.7,DEN
Cliff Levingston,14.6,ATL
Alton Lister,15.0,MIL
Lewis Lloyd,15.2,HOU
John Long,14.2,DET
John Lucas,17.4,HOU
Maurice Lucas,15.1,PHO
Kyle Macy,13.8,PHO
Rick Mahorn,10.4,WSB
Jeff Malone,15.0,WSB
Moses Malone,22.5,PHI
Wes Matthews,11.9,CHI
Cedric Maxwell,14.2,BOS
Bob McAdoo,15.4,LAL
Tim McCormick,14.7,SEA
Rodney McCray,15.5,HOU
Mike McGee,17.3,LAL
Kevin McHale,20.7,BOS
Tom McMillen,10.4,WSB
Joe Meriweather,10.2,KCK
Mike Mitchell,16.5,SAS
Paul Mokeski,10.1,MIL
Sidney Moncrief,20.1,MIL
Johnny Moore,18.3,SAS
Larry Nance,20.6,PHO
Calvin Natt,21.8,DEN
Kurt Nimphius,10.9,DAL
Norm Nixon,15.6,LAC
Audie Norris,10.6,POR
Mike O'Koren,12.4,NJN
Hakeem Olajuwon,21.1,HOU
Mark Olberding,12.2,KCK
Louis Orr,13.8,NYK
Robert Parish,17.6,BOS
Jim Paxson,17.3,POR
John Paxson,12.6,SAS
Sam Perkins,15.0,DAL
Charles Pittman,9.1,PHO
Ben Poquette,12.6,CLE
Paul Pressey,17.6,MIL
Kurt Rambis,12.7,LAL
Kelvin Ransey,15.3,NJN
Robert Reid,11.8,HOU
Clint Richardson,9.1,PHI
Micheal Ray Richardson,19.8,NJN
Doc Rivers,18.1,ATL
Alvin Robertson,15.3,SAS
Cliff Robinson,16.4,WSB
Tree Rollins,12.3,ATL
Dan Roundfield,13.9,DET
Jeff Ruland,17.0,WSB
Ralph Sampson,17.4,HOU
Alvin Scott,8.0,PHO
Byron Scott,16.8,LAL
Lonnie Shelton,9.0,CLE
Purvis Short,18.9,GSW
Jerry Sichting,13.6,IND
Jack Sikma,20.4,SEA
Derek Smith,19.1,LAC
Larry Smith,15.1,GSW
Ricky Sobers,11.3,SEA
Rory Sparrow,14.3,NYK
Larry Spriggs,11.9,LAL
Terence Stansbury,10.3,IND
Steve Stipanovich,15.9,IND
John Stockton,13.3,UTA
Jon Sundvold,9.8,SEA
Reggie Theus,17.0,KCK
Isiah Thomas,22.2,DET
Jim Thomas,13.0,IND
LaSalle Thompson,15.6,KCK
Mychal Thompson,17.5,POR
Otis Thorpe,16.6,KCK
Sedale Threatt,10.2,PHI
Andrew Toney,16.2,PHI
Kelly Tripucka,16.7,DET
Trent Tucker,12.6,NYK
Elston Turner,10.9,DEN
Jeff Turner,7.4,NJN
Melvin Turpin,13.1,CLE
Terry Tyler,14.6,DET
Darnell Valentine,15.1,POR
Kiki Vandeweghe,18.0,POR
Jay Vincent,18.0,DAL
Danny Vranes,8.3,SEA
Darrell Walker,14.7,NYK
Bill Walton,17.8,LAC
Scott Wedman,12.7,BOS
Ennis Whatley,11.3,CHI
Rory White,10.4,LAC
Jerome Whitehead,12.6,GSW
Mitchell Wiggins,14.0,HOU
Dominique Wilkins,20.9,ATL
Jeff Wilkins,11.6,UTA
Buck Williams,16.7,NJN
Gus Williams,17.3,WSB
Herb Williams,15.5,IND
Kevin Willis,12.9,ATL
Othell Wilson,10.8,GSW
Randy Wittman,11.2,ATL
Al Wood,14.3,SEA
Mike Woodson,17.5,KCK
Orlando Woolridge,19.5,CHI
James Worthy,17.0,LAL
