name,per,team
Arron Afflalo,10.9,DEN
LaMarcus Aldridge,18.2,POR
Ray Allen,15.2,BOS
Louis Amundson,14.4,PHO
Chris Andersen,15.8,DEN
Carmelo Anthony,22.2,DEN
Joel Anthony,10.2,MIA
Gilbert Arenas,18.7,WAS
Trevor Ariza,13.3,HOU
Carlos Arroyo,12.3,MIA
D.J. Augustin,11.2,CHA
Jose Barea,12.8,DAL
Andrea Bargnani,15.5,TOR
Matt Barnes,13.6,ORL
Shane Battier,11.1,HOU
Jerryd Bayless,14.3,POR
Michael Beasley,16.1,MIA
Marco Belinelli,12.6,TOR
Charlie Bell,7.9,MIL
Mike Bibby,12.7,ATL
Chauncey Billups,20.2,DEN
DeJuan Blair,17.7,SAS
Steve Blake,11.2,POR
Andray Blatche,17.6,WAS
Keith Bogans,7.7,SAS
Andrew Bogut,20.7,MIL
Matt Bonner,14.9,SAS
Josh Boone,13.7,NJN
Carlos Boozer,21.3,UTA
Chris Bosh,25.0,TOR
Earl Boykins,12.9,WAS
Elton Brand,15.7,PHI
Corey Brewer,12.1,MIN
Ronnie Brewer,12.8,UTA
Aaron Brooks,16.0,HOU
Shannon Brown,12.4,LAL
Kobe Bryant,21.9,LAL
Chase Budinger,14.1,HOU
Caron Butler,13.5,WAS
Rasual Butler,10.7,LAC
Andrew Bynum,20.2,LAL
Will Bynum,13.8,DET
Jose Calderon,16.5,TOR
Marcus Camby,18.3,LAC
Vince Carter,17.1,ORL
Omri Casspi,13.0,SAC
Mario Chalmers,10.7,MIA
Tyson Chandler,12.5,CHA
Wilson Chandler,13.7,NYK
Darren Collison,16.5,NOH
Nick Collison,13.1,OKC
Mike Conley,13.9,MEM
Jamal Crawford,18.4,ATL
Stephen Curry,16.8,GSW
Samuel Dalembert,14.0,PHI
Erick Dampier,9.6,DAL
Baron Davis,11.5,LAC
Carlos Delfino,16.1,MIL
Luol Deng,12.5,CHI
DeMar DeRozan,12.8,TOR
Boris Diaw,-3.7,CHA
Toney Douglas,11.5,NYK
Chris Douglas-Roberts,14.8,NJN
Goran Dragic,13.6,PHO
Jared Dudley,10.7,PHO
Chris Duhon,24.7,NYK
Tim Duncan,13.1,SAS
Mike Dunleavy,26.2,IND
Kevin Durant,9.6,OKC
Wayne Ellington,16.7,MIN
Monta Ellis,5.5,GSW
Maurice Evans,11.4,ATL
Tyreke Evans,12.3,SAC
Jordan Farmar,15.2,LAL
Raymond Felton,13.1,CHA
Rudy Fernandez,9.7,POR
Derek Fisher,13.0,LAL
Jonny Flynn,13.4,MIN
T.J. Ford,9.6,IND
Randy Foye,15.0,WAS
Channing Frye,10.5,PHO
Danilo Gallinari,12.4,NYK
Kevin Garnett,19.3,BOS
Marc Gasol,22.9,MEM
Pau Gasol,16.2,LAL
Rudy Gay,16.2,MEM
Daniel Gibson,13.8,CLE
Taj Gibson,9.2,CHI
Manu Ginobili,12.1,SAS
Ryan Gomes,16.9,MIN
Drew Gooden,18.0,DAL
Ben Gordon,14.1,DET
Eric Gordon,13.9,LAC
Marcin Gortat,10.6,ORL
Danny Granger,16.6,IND
Jeff Green,12.8,OKC
Willie Green,11.6,PHI
Donte Greene,5.2,SAC
Richard Hamilton,14.6,DET
James Harden,16.8,OKC
Al Harrington,16.2,NYK
Devin Harris,7.2,NJN
Udonis Haslem,6.5,MIA
Trenton Hassell,13.8,NJN
Spencer Hawes,11.7,SAC
Chuck Hayes,9.7,HOU
Jarvis Hayes,16.1,NJN
Brendan Haywood,16.1,WAS
Roy Hibbert,15.2,IND
J.J. Hickson,18.9,CLE
Nene Hilario,14.7,DEN
George Hill,14.0,SAS
Grant Hill,15.0,PHO
Kirk Hinrich,12.3,CHI
Jrue Holiday,11.0,PHI
Ryan Hollins,19.4,MIN
Al Horford,10.5,ATL
Dwight Howard,12.7,ORL
Juwan Howard,13.2,POR
Serge Ibaka,17.8,OKC
Andre Iguodala,11.9,PHI
Zydrunas Ilgauskas,11.6,CLE
Ersan Ilyasova,13.4,MIL
Jarrett Jack,5.5,TOR
Stephen Jackson,31.1,CHA
LeBron James,5.5,CLE
Antawn Jamison,16.7,WAS
Al Jefferson,13.1,MIN
Richard Jefferson,9.8,SAS
Jared Jeffries,10.1,NYK
Brandon Jennings,13.9,MIL
Jonas Jerebko,12.3,DET
Yi Jianlian,16.7,NJN
Amir Johnson,12.4,TOR
Joe Johnson,10.8,ATL
Dahntay Jones,1.4,IND
DeAndre Jordan,16.5,LAC
Chris Kaman,8.4,LAC
Jason Kidd,18.2,DAL
Andrei Kirilenko,13.9,UTA
Nenad Krstic,12.8,OKC
Carl Landry,16.0,HOU
Carl Landry,7.2,SAC
Ty Lawson,12.8,DEN
Courtney Lee,22.2,NJN
David Lee,14.0,NYK
Rashard Lewis,12.8,ORL
Brook Lopez,17.6,NJN
Kevin Love,15.5,MIN
Kyle Lowry,20.3,HOU
Corey Maggette,9.4,GSW
Shawn Marion,9.0,DAL
Kenyon Martin,17.0,DEN
Roger Mason,12.3,SAS
Wesley Matthews,14.0,UTA
Jason Maxiell,11.7,DET
O.J. Mayo,11.8,MEM
Luc Mbah a Moute,12.2,MIL
Antonio McDyess,17.0,SAS
C.J. Miles,12.8,UTA
Andre Miller,12.9,POR
Brad Miller,13.9,CHI
Mike Miller,11.9,WAS
Paul Millsap,19.6,UTA
Jamario Moon,11.2,CLE
Anthony Morrow,0.7,GSW
Troy Murphy,11.7,IND
Steve Nash,15.5,PHO
Jameer Nelson,16.0,ORL
Joakim Noah,11.1,CHI
Andres Nocioni,8.3,SAC
Dirk Nowitzki,9.9,DAL
Jermaine O'Neal,17.9,MIA
Shaquille O'Neal,5.7,CLE
Lamar Odom,16.5,LAL
Emeka Okafor,15.6,NOH
Mehmet Okur,7.0,UTA
Zaza Pachulia,8.9,ATL
Anthony Parker,16.4,CLE
Tony Parker,23.7,SAS
Chris Paul,5.4,NOH
Kendrick Perkins,9.3,BOS
Paul Pierce,11.9,BOS
Mickael Pietrus,8.7,ORL
James Posey,10.2,NOH
Tayshaun Prince,11.2,DET
Zach Randolph,10.3,MEM
J.J. Redick,6.5,ORL
Jason Richardson,12.9,PHO
Quentin Richardson,17.7,MIA
Luke Ridnour,16.3,MIL
Rajon Rondo,18.6,BOS
Derrick Rose,3.0,CHI
Brandon Roy,9.6,POR
Brandon Rush,4.8,IND
John Salmons,17.6,CHI
John Salmons,3.6,MIL
Luis Scola,9.8,HOU
Thabo Sefolosha,12.9,OKC
Ramon Sessions,8.0,MIN
Craig Smith,15.0,LAC
J.R. Smith,10.6,DEN
Josh Smith,11.6,ATL
Darius Songaila,17.6,NOH
Marreese Speights,11.1,PHI
Peja Stojakovic,22.6,NOH
Amar'e Stoudemire,15.6,PHO
Rodney Stuckey,7.5,DET
Jason Terry,12.9,DAL
Kurt Thomas,15.1,MIL
Jason Thompson,11.8,SAC
Al Thornton,12.1,LAC
Marcus Thornton,7.8,NOH
Anthony Tolliver,13.4,GSW
Hedo Turkoglu,9.6,TOR
Beno Udrih,12.2,SAC
Anderson Varejao,16.0,CLE
Charlie Villanueva,11.4,DET
Dwyane Wade,14.6,MIA
Ben Wallace,18.3,DET
Gerald Wallace,13.1,CHA
Rasheed Wallace,9.7,BOS
Hakim Warrick,15.7,MIL
C.J. Watson,10.9,GSW
Earl Watson,10.7,IND
Martell Webster,12.9,POR
Sonny Weems,18.9,TOR
David West,13.8,NOH
Delonte West,9.9,CLE
Russell Westbrook,25.9,OKC
Damien Wilkins,5.9,MIN
Deron Williams,12.9,UTA
Jason Williams,8.2,ORL
Louis Williams,10.6,PHI
Marvin Williams,16.1,ATL
Mo Williams,16.1,CLE
Terrence Williams,12.1,NJN
Metta World Peace,8.6,LAL
Antoine Wright,14.5,TOR
Dorell Wright,11.8,MIA
Nick Young,13.0,WAS
Sam Young,14.0,MEM
