name,per,team
Mahmoud Abdul-Rauf,16.7,DEN
Michael Adams,14.2,WSB
Danny Ainge,11.8,PHO
Victor Alexander,14.0,GSW
Greg Anderson,14.6,DET
Kenny Anderson,18.2,NJN
Nick Anderson,16.9,ORL
Willie Anderson,14.2,SAS
Greg Anthony,13.0,NYK
B.J. Armstrong,14.5,CHI
Vincent Askew,15.9,SEA
Stacey Augmon,17.9,ATL
Thurl Bailey,15.2,MIN
Vin Baker,16.1,MIL
Charles Barkley,22.8,PHO
Dana Barros,16.0,PHI
Jon Barry,14.6,MIL
Benoit Benjamin,14.2,NJN
David Benoit,10.9,UTA
Mookie Blaylock,19.6,ATL
Muggsy Bogues,16.2,CHH
Anthony Bonner,12.6,NYK
Shawn Bradley,11.6,PHI
Terrell Brandon,15.0,CLE
Frank Brickowski,14.7,MIL
Scott Brooks,12.2,HOU
Dee Brown,16.0,BOS
Mike Brown,7.2,MIN
P.J. Brown,12.2,NJN
Randy Brown,9.3,SAC
Mark Bryant,9.9,POR
Mitchell Butler,13.0,WSB
Michael Cage,11.9,SEA
Elden Campbell,15.2,LAL
Sam Cassell,13.1,HOU
Cedric Ceballos,20.9,PHO
Tom Chambers,13.4,UTA
Rex Chapman,16.9,WSB
Calbert Cheaney,14.0,WSB
Doug Christie,13.5,LAL
Derrick Coleman,21.4,NJN
Bimbo Coles,13.0,MIA
Tyrone Corbin,11.8,UTA
Terry Cummings,12.7,SAS
Dell Curry,18.5,CHH
Brad Daugherty,18.4,CLE
Antonio Davis,15.2,IND
Dale Davis,15.9,IND
Hubert Davis,14.0,NYK
Johnny Dawkins,13.5,PHI
Todd Day,13.5,MIL
Vinny Del Negro,15.3,SAS
Bison Dele,16.5,DEN
Vlade Divac,18.8,LAL
Sherman Douglas,14.3,BOS
Clyde Drexler,18.4,POR
Kevin Duckworth,8.2,WSB
Joe Dumars,16.2,DET
Acie Earl,9.2,BOS
Blue Edwards,12.9,MIL
Kevin Edwards,13.8,NJN
Craig Ehlo,15.0,ATL
Mario Elie,13.4,HOU
Sean Elliott,11.3,DET
Dale Ellis,14.7,SAS
LaPhonso Ellis,15.9,DEN
Pervis Ellison,10.7,WSB
Patrick Ewing,22.9,NYK
Duane Ferrell,14.5,ATL
Vern Fleming,11.8,IND
Rick Fox,14.4,BOS
Kevin Gamble,13.4,BOS
Chris Gatling,18.7,GSW
Kenny Gattison,13.3,CHH
Matt Geiger,16.7,MIA
Kendall Gill,15.6,SEA
Armen Gilliam,18.5,NJN
Gary Grant,13.8,LAC
Harvey Grant,12.3,POR
Horace Grant,19.8,CHI
Jeff Grayer,13.2,GSW
A.C. Green,17.0,PHO
Tom Gugliotta,17.9,WSB
Anfernee Hardaway,17.4,ORL
Derek Harper,13.7,NYK
Ron Harper,15.7,LAC
Lucious Harris,11.0,DAL
Hersey Hawkins,15.6,CHH
Carl Herrera,9.1,HOU
Tyrone Hill,18.4,CLE
Jeff Hornacek,16.3,PHI
Robert Horry,14.2,HOU
Allan Houston,9.0,DET
Jay Humphries,10.9,UTA
Lindsey Hunter,12.0,DET
Jim Jackson,14.4,DAL
Mark Jackson,14.8,LAC
Keith Jennings,15.5,GSW
Avery Johnson,13.9,GSW
Eddie Johnson,15.9,CHH
Kevin Johnson,20.6,PHO
Larry Johnson,16.8,CHH
Popeye Jones,14.1,DAL
Shawn Kemp,22.9,SEA
Steve Kerr,13.7,CHI
Jerome Kersey,14.5,POR
Negele Knight,13.9,SAS
Jon Koncak,9.9,ATL
Toni Kukoc,15.4,CHI
Christian Laettner,16.8,MIN
Andrew Lang,11.0,ATL
Eric Leckner,10.4,PHI
Tim Legler,16.1,DAL
Fat Lever,13.2,DAL
