name,per,team
Lionel Simmons,15.5,SAC
Scott Skiles,15.2,ORL
Charles Smith,14.9,NYK
Chris Smith,11.1,MIN
Doug Smith,10.3,DAL
Kenny Smith,17.1,HOU
LaBradford Smith,10.9,WSB
Steve Smith,16.1,MIA
Rik Smits,14.8,IND
Felton Spencer,8.2,MIN
Latrell Sprewell,13.6,GSW
John Starks,16.3,NYK
Larry Stewart,14.5,WSB
John Stockton,21.3,UTA
Rod Strickland,18.0,POR
Isiah Thomas,15.4,DET
Otis Thorpe,14.6,HOU
Sedale Threatt,16.5,LAL
Wayman Tisdale,15.7,SAC
Tom Tolbert,10.4,ORL
Jeff Turner,11.4,ORL
Loy Vaught,16.0,LAC
Clarence Weatherspoon,15.0,PHI
Spud Webb,14.4,SAC
Doug West,14.2,MIN
Mark West,11.4,PHO
Randy White,13.2,DAL
Dominique Wilkins,24.3,ATL
Gerald Wilkins,12.9,CLE
Buck Williams,11.9,POR
Hot Rod Williams,13.7,CLE
John Williams,10.5,LAC
Micheal Williams,19.0,MIN
Reggie Williams,15.8,DEN
Scott Williams,14.6,CHI
Walt Williams,15.0,SAC
Kevin Willis,17.4,ATL
David Wingate,11.5,CHH
Orlando Woolridge,13.4,DET
James Worthy,15.6,LAL
