name,per,team
Shareef Abdur-Rahim,19.9,ATL
Courtney Alexander,9.3,NOH
Malik Allen,9.9,MIA
Ray Allen,19.9,MIL
Ray Allen,23.3,SEA
Derek Anderson,16.9,POR
Shandon Anderson,13.4,NYK
Gilbert Arenas,18.6,GSW
Darrell Armstrong,14.6,ORL
Chucky Atkins,10.1,DET
Brent Barry,15.8,SEA
Jon Barry,17.9,DET
Mike Batiste,12.2,MEM
Tony Battie,15.2,BOS
Shane Battier,15.0,MEM
Raja Bell,7.9,DAL
Travis Best,11.2,MIA
Mike Bibby,17.6,SAC
Chauncey Billups,20.4,DET
Carlos Boozer,17.9,CLE
Bruce Bowen,9.1,SAS
Earl Boykins,17.6,GSW
Michael Bradley,12.8,TOR
Shawn Bradley,18.3,DAL
Elton Brand,21.7,LAC
J.R. Bremer,12.7,BOS
Kwame Brown,13.6,WAS
P.J. Brown,17.6,NOH
Kobe Bryant,26.2,LAL
Greg Buckner,11.6,PHI
Caron Butler,15.1,MIA
Rasual Butler,9.5,MIA
Vince Carter,21.9,TOR
Sam Cassell,22.3,MIL
Kelvin Cato,15.5,HOU
Tyson Chandler,15.8,CHI
Calbert Cheaney,9.8,UTA
Doug Christie,15.0,SAC
Keon Clark,13.9,SAC
Derrick Coleman,15.4,PHI
Jason Collins,9.9,NJN
Jamal Crawford,15.4,CHI
Eddy Curry,17.5,CHI
Michael Curry,5.7,DET
Erick Dampier,15.8,GSW
Antonio Davis,14.5,TOR
Baron Davis,16.9,NOH
Dale Davis,14.5,POR
Ricky Davis,16.1,CLE
Andrew DeClercq,11.3,ORL
Tony Delk,13.7,BOS
Vlade Divac,15.6,SAC
Michael Doleac,8.9,NYK
Predrag Drobnjak,12.5,SEA
Tim Duncan,26.9,SAS
Mike Dunleavy,12.5,GSW
Howard Eisley,14.1,NYK
Reggie Evans,10.4,SEA
Michael Finley,17.6,DAL
Derek Fisher,11.9,LAL
Rick Fox,11.9,LAL
Adonal Foyle,15.3,GSW
Steve Francis,20.6,HOU
Kevin Garnett,26.4,MIN
Pat Garrity,11.2,ORL
Pau Gasol,20.7,MEM
Devean George,11.4,LAL
Kendall Gill,10.6,MIN
Manu Ginobili,14.7,SAS
Gordan Giricek,10.8,MEM
Dion Glover,13.5,ATL
Drew Gooden,13.8,MEM
Brian Grant,15.6,MIA
Adrian Griffin,11.5,DAL
Eddie Griffin,15.4,HOU
Richard Hamilton,18.7,DET
Anfernee Hardaway,13.0,PHO
Matt Harpring,19.3,UTA
Al Harrington,12.4,IND
Junior Harrington,6.4,DEN
Othella Harrington,12.3,NYK
Lucious Harris,13.5,NJN
Donnell Harvey,12.5,DEN
Trenton Hassell,6.0,CHI
Brendan Haywood,13.5,WAS
Alan Henderson,12.1,ATL
Nene Hilario,15.4,DEN
Robert Horry,12.4,LAL
Eddie House,12.1,MIA
Allan Houston,17.7,NYK
Juwan Howard,17.2,DEN
Troy Hudson,15.2,MIN
Larry Hughes,15.5,WAS
Zydrunas Ilgauskas,19.4,CLE
Allen Iverson,21.2,PHI
Bobby Jackson,18.4,SAC
Jim Jackson,12.4,SAC
Marc Jackson,13.4,MIN
Mark Jackson,12.2,UTA
Stephen Jackson,14.5,SAS
Casey Jacobsen,9.2,PHO
Mike James,11.8,MIA
Antawn Jamison,19.0,GSW
Marko Jaric,14.4,LAC
Richard Jefferson,16.6,NJN
Ervin Johnson,9.4,MIL
Joe Johnson,11.6,PHO
Eddie Jones,18.9,MIA
Jumaine Jones,12.3,CLE
Michael Jordan,19.3,WAS
Shawn Kemp,11.7,ORL
Jason Kidd,22.2,NJN
Andrei Kirilenko,21.1,UTA
Kerry Kittles,18.3,NJN
Toni Kukoc,18.0,MIL
Christian Laettner,16.1,WAS
Raef LaFrentz,16.5,DAL
Voshon Lenard,14.4,TOR
Rashard Lewis,16.7,SEA
Tyronn Lue,12.9,WAS
George Lynch,12.9,NOH
Corey Maggette,17.4,LAC
Jamaal Magloire,15.4,NOH
Karl Malone,21.7,UTA
Stephon Marbury,20.1,PHO
Shawn Marion,21.3,PHO
Donyell Marshall,18.4,CHI
Kenyon Martin,16.9,NJN
Jamal Mashburn,18.0,NOH
Anthony Mason,11.3,MIL
Desmond Mason,14.2,SEA
Walter McCarty,10.8,BOS
Jelani McCoy,12.4,TOR
Tracy McGrady,30.3,ORL
Jeff McInnis,10.0,POR
Aaron McKie,13.7,PHI
Ron Mercer,9.3,IND
Darius Miles,9.7,CLE
Andre Miller,15.2,LAC
Brad Miller,19.3,IND
Mike Miller,13.9,ORL
Reggie Miller,15.9,IND
Yao Ming,20.6,HOU
Cuttino Mobley,14.7,HOU
Troy Murphy,15.9,GSW
Eduardo Najera,14.8,DAL
Steve Nash,22.6,DAL
Rasho Nesterovic,14.7,MIN
Ira Newble,11.7,ATL
