name,per,team
Kareem Abdul-Jabbar,22.7,LAL
Alvan Adams,15.3,PHO
Mark Aguirre,19.2,DAL
Danny Ainge,13.6,BOS
Ron Anderson,14.5,IND
John Bagley,15.2,CLE
James Bailey,12.6,NYK
Thurl Bailey,15.0,UTA
Greg Ballard,13.4,GSW
Gene Banks,15.5,CHI
Ken Bannister,10.4,NYK
Charles Barkley,22.4,PHI
Benoit Benjamin,16.1,LAC
Kent Benson,13.8,DET
Larry Bird,25.6,BOS
Otis Birdsong,13.4,NJN
Rolando Blackman,19.0,DAL
Manute Bol,11.2,WSB
Sam Bowie,15.2,POR
Randy Breuer,14.1,MIL
Junior Bridgeman,12.0,LAC
Michael Cage,12.3,LAC
Tony Campbell,12.6,DET
Kenny Carr,13.3,POR
Joe Barry Carroll,17.2,GSW
Terry Catledge,12.6,PHI
Tom Chambers,17.1,SEA
Maurice Cheeks,17.9,PHI
Steve Colter,12.7,POR
Darwin Cook,13.1,NJN
Michael Cooper,13.5,LAL
Wayne Cooper,16.3,DEN
Dave Corzine,14.6,CHI
Pat Cummings,14.0,NYK
Terry Cummings,18.2,MIL
Earl Cureton,11.7,DET
Adrian Dantley,24.6,UTA
Brad Davis,16.9,DAL
Walter Davis,18.1,PHO
Darryl Dawkins,19.5,NJN
Darren Daye,16.4,WSB
James Donaldson,13.0,DAL
Larry Drew,13.7,SAC
Clyde Drexler,19.8,POR
Joe Dumars,12.9,DET
T.R. Dunn,9.4,DEN
Mark Eaton,12.2,UTA
Franklin Edwards,13.7,LAC
James Edwards,16.7,PHO
Dale Ellis,13.5,DAL
Alex English,21.7,DEN
Julius Erving,17.4,PHI
Mike Evans,12.4,DEN
Patrick Ewing,17.4,NYK
Kenny Fields,13.3,MIL
Vern Fleming,15.3,IND
Sleepy Floyd,20.0,GSW
World B. Free,19.0,CLE
Bill Garnett,10.5,IND
George Gervin,16.0,CHI
Artis Gilmore,17.1,SAS
Mike Gminski,19.0,NJN
A.C. Green,11.8,LAL
Rickey Green,16.4,UTA
Sidney Green,14.2,CHI
Dave Greenwood,11.1,SAS
Ernie Grunfeld,9.8,NYK
Bob Hansen,10.1,UTA
Bill Hanzlik,15.3,DEN
