name,per,team
Steven Adams,11.2,OKC
Arron Afflalo,16.0,ORL
LaMarcus Aldridge,21.8,POR
Ray Allen,12.8,MIA
Tony Allen,15.6,MEM
Al-Farouq Aminu,13.2,NOP
Chris Andersen,18.5,MIA
Alan Anderson,9.5,BRK
James Anderson,10.9,PHI
Giannis Antetokounmpo,10.8,MIL
Carmelo Anthony,24.4,NYK
Trevor Ariza,15.8,WAS
Darrell Arthur,9.4,DEN
D.J. Augustin,16.8,CHI
Jose Barea,11.6,MIN
Andrea Bargnani,14.5,NYK
Harrison Barnes,9.8,GSW
Matt Barnes,12.0,LAC
Brandon Bass,15.0,BOS
Shane Battier,8.7,MIA
Nicolas Batum,15.8,POR
Jerryd Bayless,12.5,BOS
Bradley Beal,14.3,WAS
Marco Belinelli,15.0,SAS
Patrick Beverley,12.4,HOU
Bismack Biyombo,13.3,CHA
DeJuan Blair,17.3,DAL
Andray Blatche,18.8,BRK
Eric Bledsoe,19.6,PHO
Andrew Bogut,17.0,GSW
Trevor Booker,15.0,WAS
Carlos Boozer,14.4,CHI
Chris Bosh,19.0,MIA
Avery Bradley,12.7,BOS
Elton Brand,14.0,ATL
Corey Brewer,12.7,MIN
Trey Burke,12.6,UTA
Alec Burks,15.8,UTA
Jimmy Butler,13.5,CHI
Will Bynum,14.4,DET
Nick Calathes,12.3,MEM
Jose Calderon,15.2,DAL
Kentavious Caldwell-Pope,9.4,DET
DeMarre Carroll,13.9,ATL
Vince Carter,15.9,DAL
Michael Carter-Williams,15.5,PHI
Omri Casspi,12.9,HOU
Mario Chalmers,14.0,MIA
Tyson Chandler,16.4,NYK
Wilson Chandler,12.4,DEN
Norris Cole,8.8,MIA
Darren Collison,16.2,LAC
Nick Collison,11.8,OKC
Mike Conley,20.0,MEM
DeMarcus Cousins,26.1,SAC
Jamal Crawford,17.3,LAC
Jordan Crawford,15.7,BOS
Jae Crowder,11.9,DAL
Dante Cunningham,12.6,MIN
Stephen Curry,24.1,GSW
Samuel Dalembert,16.8,DAL
Anthony Davis,26.5,NOP
Glen Davis,13.7,ORL
Matthew Dellavedova,10.7,CLE
Luol Deng,14.0,CLE
