name,per,team
Shareef Abdur-Rahim,13.1,SAC
LaMarcus Aldridge,17.1,POR
Ray Allen,21.6,SEA
Rafer Alston,12.9,HOU
Derek Anderson,13.7,CHA
Carmelo Anthony,22.1,DEN
Gilbert Arenas,24.0,WAS
Trevor Ariza,16.2,ORL
Darrell Armstrong,15.1,IND
Carlos Arroyo,14.4,ORL
Chucky Atkins,17.4,MEM
Renaldo Balkman,16.1,NYK
Leandro Barbosa,18.4,PHO
Andrea Bargnani,12.8,TOR
Matt Barnes,14.7,GSW
Brent Barry,16.6,SAS
Tony Battie,9.8,ORL
Shane Battier,12.0,HOU
Charlie Bell,13.1,MIL
Raja Bell,12.0,PHO
Mike Bibby,16.0,SAC
Andris Biedrins,16.2,GSW
Chauncey Billups,21.3,DET
Steve Blake,11.0,DEN
Mark Blount,12.7,MIN
Andrew Bogut,15.5,MIL
Carlos Boozer,24.1,UTA
Chris Bosh,22.6,TOR
Bruce Bowen,7.1,SAS
Earl Boykins,15.1,MIL
Elton Brand,23.1,LAC
Devin Brown,14.3,NOK
Kwame Brown,13.7,LAL
P.J. Brown,9.7,CHI
Kobe Bryant,26.1,LAL
Greg Buckner,7.8,DAL
Caron Butler,18.3,WAS
Rasual Butler,10.8,NOK
Andrew Bynum,15.4,LAL
Jose Calderon,19.1,TOR
Marcus Camby,19.1,DEN
Rodney Carney,11.4,PHI
Matt Carroll,14.6,CHA
Vince Carter,21.8,NJN
Sam Cassell,17.1,LAC
Tyson Chandler,17.0,NOK
Josh Childress,16.2,ATL
Speedy Claxton,7.3,ATL
Jason Collins,3.0,NJN
Nick Collison,14.2,SEA
Brian Cook,14.8,LAL
Jamal Crawford,14.5,NYK
Eddy Curry,17.0,NYK
Samuel Dalembert,16.1,PHI
Erick Dampier,14.9,DAL
Antonio Daniels,15.0,WAS
Baron Davis,21.0,GSW
Ricky Davis,15.9,MIN
Carlos Delfino,12.8,DET
Luol Deng,18.7,CHI
Boris Diaw,13.0,PHO
Yakhouba Diawara,5.3,DEN
DeSagana Diop,10.6,DAL
Juan Dixon,11.2,POR
Keyon Dooling,11.1,ORL
Chris Duhon,11.9,CHI
Tim Duncan,26.1,SAS
Mike Dunleavy,14.6,GSW
Mike Dunleavy,13.8,IND
Monta Ellis,15.0,GSW
Francisco Elson,11.2,SAS
Maurice Evans,12.1,LAL
Reggie Evans,13.5,DEN
Jordan Farmar,10.8,LAL
Raymond Felton,13.5,CHA
Michael Finley,13.7,SAS
Derek Fisher,11.4,UTA
T.J. Ford,18.2,TOR
Jeff Foster,13.0,IND
Randy Foye,14.0,MIN
Steve Francis,15.1,NYK
Channing Frye,10.5,NYK
Jorge Garbajosa,12.1,TOR
Francisco Garcia,11.7,SAC
Kevin Garnett,24.1,MIN
Pau Gasol,24.1,MEM
Rudy Gay,12.4,MEM
Mickael Gelabale,9.8,SEA
Devean George,9.7,DAL
Manu Ginobili,24.1,SAS
Gordan Giricek,11.3,UTA
Ryan Gomes,13.7,BOS
Drew Gooden,16.5,CLE
Ben Gordon,18.2,CHI
Joey Graham,12.9,TOR
Danny Granger,13.9,IND
Gerald Green,12.0,BOS
Willie Green,10.3,PHI
Richard Hamilton,18.1,DET
Matt Harpring,14.7,UTA
Al Harrington,13.4,IND
Al Harrington,16.1,GSW
Devin Harris,16.0,DAL
Udonis Haslem,13.7,MIA
Trenton Hassell,9.7,MIN
Chuck Hayes,13.9,HOU
Jarvis Hayes,10.7,WAS
Brendan Haywood,14.2,WAS
Luther Head,13.7,HOU
Nene Hilario,17.8,DEN
Grant Hill,16.3,ORL
Kirk Hinrich,17.0,CHI
Robert Horry,11.9,SAS
Dwight Howard,21.1,ORL
Josh Howard,20.0,DAL
Juwan Howard,12.8,HOU
Larry Hughes,12.1,CLE
Steven Hunter,12.3,PHI
Andre Iguodala,18.1,PHI
Zydrunas Ilgauskas,18.0,CLE
Allen Iverson,18.4,DEN
Jarrett Jack,14.5,POR
Bobby Jackson,15.1,NOK
Marc Jackson,11.9,NOK
Stephen Jackson,13.1,IND
Stephen Jackson,15.7,GSW
LeBron James,24.5,CLE
Mike James,13.3,MIN
Antawn Jamison,18.4,WAS
Marko Jaric,9.6,MIN
Al Jefferson,19.8,BOS
Richard Jefferson,13.8,NJN
Jared Jeffries,8.6,NYK
