name,per,team
Mahmoud Abdul-Rauf,13.2,SAC
Shareef Abdur-Rahim,17.4,VAN
Cory Alexander,14.3,SAS
Ray Allen,14.6,MIL
Greg Anderson,11.4,SAS
Kenny Anderson,19.5,POR
Nick Anderson,13.8,ORL
Shandon Anderson,10.4,UTA
Greg Anthony,16.6,VAN
B.J. Armstrong,12.9,GSW
Darrell Armstrong,14.7,ORL
Keith Askins,9.1,MIA
Isaac Austin,14.2,MIA
Vin Baker,20.1,MIL
Charles Barkley,23.0,HOU
Brent Barry,15.0,LAC
Travis Best,13.3,IND
Mookie Blaylock,20.4,ATL
Corie Blount,11.9,LAL
Muggsy Bogues,15.7,CHH
Shawn Bradley,16.3,NJN
Shawn Bradley,16.7,DAL
Terrell Brandon,21.5,CLE
P.J. Brown,13.8,MIA
Randy Brown,13.0,CHI
Kobe Bryant,14.4,LAL
Mark Bryant,13.3,PHO
Matt Bullard,10.3,HOU
Jason Caffey,14.3,CHI
Michael Cage,10.3,PHI
Marcus Camby,17.8,TOR
Elden Campbell,16.8,LAL
Antoine Carr,12.1,UTA
Cedric Ceballos,17.7,PHO
Rex Chapman,15.2,PHO
Calbert Cheaney,11.1,WSB
Chris Childs,11.2,NYK
Doug Christie,15.1,TOR
Derrick Coleman,17.3,PHI
Bimbo Coles,9.5,GSW
Marty Conlon,12.8,BOS
Tyrone Corbin,11.0,ATL
Dell Curry,15.0,CHH
Michael Curry,10.4,DET
Erick Dampier,11.8,IND
Sasha Danilovic,9.7,MIA
Antonio Davis,13.8,IND
Dale Davis,15.1,IND
Mark Davis,13.7,PHI
Todd Day,15.5,BOS
Andrew DeClercq,12.5,GSW
Terry Dehere,12.4,LAC
Vinny Del Negro,14.4,SAS
Vlade Divac,17.9,CHH
Sherman Douglas,14.6,MIL
Clyde Drexler,19.9,HOU
Chris Dudley,10.1,POR
Joe Dumars,15.6,DET
Tyus Edney,12.7,SAC
Blue Edwards,10.0,VAN
Howard Eisley,11.1,UTA
Mario Elie,14.3,HOU
Sean Elliott,14.0,SAS
Dale Ellis,12.9,DEN
LaPhonso Ellis,18.2,DEN
Patrick Ewing,21.3,NYK
Duane Ferrell,11.6,IND
Danny Ferry,11.7,CLE
Michael Finley,14.5,DAL
Rick Fox,16.5,BOS
Kevin Garnett,18.2,MIN
Dean Garrett,17.7,MIN
Chris Gatling,24.4,DAL
Matt Geiger,14.3,CHH
Kendall Gill,19.6,NJN
Armen Gilliam,13.6,MIL
Harvey Grant,8.8,WSB
Horace Grant,17.3,ORL
A.C. Green,12.6,DAL
Tom Gugliotta,19.0,MIN
Tom Hammonds,10.1,DEN
Anfernee Hardaway,21.4,ORL
Tim Hardaway,20.8,MIA
Derek Harper,12.9,DAL
Ron Harper,13.6,CHI
Hersey Hawkins,17.6,SEA
Carl Herrera,10.6,SAS
Grant Hill,25.5,DET
Tyrone Hill,17.8,CLE
Jeff Hornacek,18.8,UTA
Allan Houston,11.3,NYK
Juwan Howard,16.1,WSB
Lindsey Hunter,13.4,DET
Allen Iverson,18.0,PHI
Jaren Jackson,10.1,WSB
Jim Jackson,15.2,DAL
Jim Jackson,15.0,NJN
Mark Jackson,16.2,DEN
Mark Jackson,14.8,IND
Avery Johnson,15.0,SAS
