name,per,team
Shareef Abdur-Rahim,18.7,POR
Ray Allen,20.9,SEA
Tony Allen,14.7,BOS
Rafer Alston,16.5,TOR
Chris Andersen,18.5,NOH
Derek Anderson,11.7,POR
Shandon Anderson,9.2,MIA
Carmelo Anthony,16.7,DEN
Gilbert Arenas,21.3,WAS
Trevor Ariza,13.3,NYK
Chucky Atkins,13.4,LAL
Marcus Banks,12.3,BOS
Leandro Barbosa,12.8,PHO
Brent Barry,14.0,SAS
Jon Barry,14.0,HOU
Tony Battie,8.6,ORL
Shane Battier,14.8,MEM
Raja Bell,12.2,UTA
Travis Best,11.9,NJN
Mike Bibby,19.2,SAC
Chauncey Billups,19.0,DET
Mark Blount,12.5,BOS
Keith Bogans,10.4,CHA
Matt Bonner,14.7,TOR
Carlos Boozer,19.2,UTA
Chris Bosh,17.5,TOR
Bruce Bowen,9.5,SAS
Earl Boykins,17.1,DEN
Elton Brand,22.4,LAC
Primoz Brezec,16.1,CHA
Devin Brown,14.6,SAS
P.J. Brown,15.5,NOH
Tierre Brown,9.5,LAL
Rick Brunson,11.6,LAC
Kobe Bryant,23.3,LAL
Greg Buckner,13.7,DEN
Rodney Buford,9.5,NJN
Caron Butler,15.8,LAL
Rasual Butler,10.3,MIA
Marcus Camby,18.0,DEN
Brian Cardinal,14.0,MEM
Vince Carter,24.5,NJN
Sam Cassell,18.6,MIN
Kelvin Cato,14.9,ORL
Tyson Chandler,16.4,CHI
Josh Childress,15.2,ATL
Speedy Claxton,16.4,GSW
Jason Collins,8.6,NJN
Nick Collison,15.0,SEA
Brian Cook,14.1,LAL
Jamal Crawford,15.2,NYK
Austin Croshere,13.5,IND
Eddy Curry,16.3,CHI
Samuel Dalembert,14.4,PHI
Erick Dampier,15.2,DAL
Antonio Daniels,18.0,SEA
Marquis Daniels,14.6,DAL
Antonio Davis,11.1,CHI
Ricky Davis,15.0,BOS
Tony Delk,15.1,ATL
Luol Deng,14.2,CHI
Boris Diaw,10.0,ATL
Dan Dickau,15.0,NOH
Juan Dixon,15.2,WAS
Michael Doleac,9.7,MIA
Keyon Dooling,10.1,MIA
Predrag Drobnjak,12.7,ATL
Chris Duhon,9.8,CHI
Tim Duncan,27.0,SAS
Mike Dunleavy,14.5,GSW
Howard Eisley,9.3,UTA
Melvin Ely,10.5,CHA
Maurice Evans,12.1,SAC
Reggie Evans,13.0,SEA
Michael Finley,14.3,DAL
Derek Fisher,13.4,GSW
Danny Fortson,17.0,SEA
Jeff Foster,15.4,IND
Adonal Foyle,12.7,GSW
Steve Francis,18.9,ORL
Dan Gadzuric,18.1,MIL
Kevin Garnett,28.2,MIN
Pau Gasol,22.5,MEM
Eddie Gill,9.5,IND
Manu Ginobili,22.3,SAS
Gordan Giricek,12.9,UTA
Drew Gooden,19.7,CLE
Ben Gordon,14.9,CHI
Brian Grant,10.0,LAL
Willie Green,9.6,PHI
Eddie Griffin,15.9,MIN
Richard Hamilton,16.0,DET
Matt Harpring,15.5,UTA
Al Harrington,14.4,ATL
Othella Harrington,14.5,CHI
Devin Harris,14.7,DAL
Lucious Harris,9.0,CLE
Jason Hart,16.9,CHA
Udonis Haslem,15.5,MIA
Trenton Hassell,9.3,MIN
Jarvis Hayes,11.1,WAS
Brendan Haywood,16.5,WAS
Alan Henderson,12.4,DAL
Nene Hilario,15.6,DEN
Grant Hill,20.0,ORL
Kirk Hinrich,15.3,CHI
Fred Hoiberg,16.7,MIN
Robert Horry,14.9,SAS
Dwight Howard,17.2,ORL
Josh Howard,15.8,DAL
Juwan Howard,13.0,HOU
Troy Hudson,12.1,MIN
Larry Hughes,21.6,WAS
Lindsey Hunter,9.6,DET
Steven Hunter,14.7,PHO
Andre Iguodala,13.5,PHI
Zydrunas Ilgauskas,19.5,CLE
Allen Iverson,23.2,PHI
Marc Jackson,15.9,PHI
Stephen Jackson,15.9,IND
Casey Jacobsen,11.7,NOH
Jerome James,10.0,SEA
LeBron James,25.7,CLE
Mike James,16.0,MIL
Antawn Jamison,16.9,WAS
Marko Jaric,13.9,LAC
