name,per,team
Mahmoud Abdul-Rauf,17.8,DEN
Rafael Addison,11.3,DET
Danny Ainge,14.3,PHO
Victor Alexander,12.8,GSW
Derrick Alston,11.6,PHI
Kenny Anderson,18.0,NJN
Nick Anderson,17.5,ORL
B.J. Armstrong,15.1,CHI
Vincent Askew,13.6,SEA
Stacey Augmon,16.0,ATL
Anthony Avent,9.8,ORL
Vin Baker,16.6,MIL
Charles Barkley,25.2,PHO
Dana Barros,20.9,PHI
Benoit Benjamin,13.9,NJN
David Benoit,13.9,UTA
Mookie Blaylock,19.2,ATL
Muggsy Bogues,16.9,CHH
Anthony Bonner,9.4,NYK
Anthony Bowie,11.7,ORL
Sam Bowie,10.4,LAL
Shawn Bradley,14.8,PHI
Terrell Brandon,18.7,CLE
Dee Brown,15.7,BOS
P.J. Brown,12.1,NJN
Randy Brown,11.8,SAC
Scott Burrell,15.0,CHH
Willie Burton,13.9,PHI
Mitchell Butler,10.0,WSB
Michael Cage,13.5,CLE
Elden Campbell,15.4,LAL
Tony Campbell,12.9,CLE
Antoine Carr,13.9,UTA
Sam Cassell,15.9,HOU
Cedric Ceballos,19.9,LAL
Tom Chambers,12.5,UTA
Rex Chapman,15.3,WSB
Calbert Cheaney,14.2,WSB
Pete Chilcutt,11.0,HOU
Chris Childs,11.2,NJN
Derrick Coleman,19.0,NJN
Bimbo Coles,12.5,MIA
Marty Conlon,13.6,MIL
Tyrone Corbin,12.0,ATL
John Crotty,12.2,UTA
Terry Cummings,13.3,SAS
Dell Curry,15.5,CHH
Antonio Davis,11.9,IND
Dale Davis,16.1,IND
Hubert Davis,14.7,NYK
Johnny Dawkins,12.2,DET
Todd Day,14.4,MIL
Terry Dehere,11.8,LAC
Vinny Del Negro,13.8,SAS
Bison Dele,13.9,DEN
Vlade Divac,20.5,LAL
Sherman Douglas,17.0,BOS
Clyde Drexler,22.7,POR
Clyde Drexler,22.1,HOU
Chris Dudley,10.9,POR
Joe Dumars,13.9,DET
Craig Ehlo,13.9,ATL
Mario Elie,13.7,HOU
Sean Elliott,16.0,SAS
Dale Ellis,12.9,DEN
Pervis Ellison,13.3,BOS
Patrick Ewing,21.9,NYK
Danny Ferry,16.0,CLE
Rick Fox,16.8,BOS
Kevin Gamble,16.3,MIA
Winston Garland,10.1,MIN
Chris Gatling,19.5,GSW
Matt Geiger,12.9,MIA
Kendall Gill,15.2,SEA
Armen Gilliam,18.1,NJN
Brian Grant,16.5,SAC
Harvey Grant,13.2,POR
Horace Grant,16.9,ORL
Jeff Grayer,10.6,PHI
A.C. Green,14.2,PHO
Tom Gugliotta,12.2,GSW
Tom Gugliotta,18.4,MIN
Anfernee Hardaway,20.8,ORL
Tim Hardaway,18.3,GSW
Derek Harper,12.6,NYK
Ron Harper,12.2,CHI
Lucious Harris,15.1,DAL
Hersey Hawkins,16.3,CHH
Carl Herrera,11.7,HOU
Grant Hill,19.0,DET
Tyrone Hill,16.8,CLE
Jeff Hornacek,18.6,UTA
Robert Horry,13.5,HOU
Allan Houston,16.4,DET
Juwan Howard,15.0,WSB
Bobby Hurley,7.7,SAC
Jim Jackson,18.9,DAL
Mark Jackson,14.0,IND
Keith Jennings,15.3,GSW
Avery Johnson,15.7,SAS
Kevin Johnson,21.0,PHO
Larry Johnson,17.1,CHH
Eddie Jones,16.3,LAL
Popeye Jones,13.8,DAL
Adam Keefe,15.1,UTA
Shawn Kemp,21.7,SEA
Steve Kerr,13.5,CHI
Jerome Kersey,14.5,POR
Jason Kidd,15.1,DAL
Toni Kukoc,19.8,CHI
Christian Laettner,17.7,MIN
Andrew Lang,13.1,ATL
Grant Long,14.6,ATL
Luc Longley,12.3,CHI
Don MacLean,11.7,WSB
Dan Majerle,15.1,PHO
Karl Malone,25.1,UTA
Danny Manning,18.1,PHO
Sarunas Marciulionis,14.2,SEA
Donyell Marshall,12.7,MIN
Donyell Marshall,12.4,GSW
Jamal Mashburn,17.3,DAL
Anthony Mason,14.9,NYK
Tony Massenburg,11.7,LAC
Vernon Maxwell,11.9,HOU
Lee Mayberry,9.9,MIL
Xavier McDaniel,12.8,BOS
Derrick McKey,15.0,IND
Nate McMillan,13.1,SEA
Oliver Miller,16.9,DET
Reggie Miller,20.1,IND
Chris Mills,11.6,CLE
Terry Mills,14.7,DET
Sam Mitchell,13.4,IND
Eric Montross,12.1,BOS
Chris Morris,15.5,NJN
Alonzo Mourning,20.1,CHH
Eric Murdock,17.3,MIL
Gheorghe Muresan,17.4,WSB
Lamond Murray,11.6,LAC
Dikembe Mutombo,17.0,DEN
Pete Myers,9.1,CHI
Johnny Newman,10.4,MIL
Ken Norman,14.8,ATL
Shaquille O'Neal,28.6,ORL
Charles Oakley,14.3,NYK
Hakeem Olajuwon,26.0,HOU
Bo Outlaw,13.3,LAC
Doug Overton,11.6,WSB
Billy Owens,15.6,MIA
Robert Pack,16.9,DEN
Robert Parish,10.1,CHH
Gary Payton,21.3,SEA
Anthony Peeler,13.8,LAL
Will Perdue,16.3,CHI
Sam Perkins,16.2,SEA
Elliot Perry,17.3,PHO
Chuck Person,11.5,SAS
Wesley Person,14.2,PHO
Bobby Phills,12.2,CLE
Eric Piatkowski,13.9,LAC
Scottie Pippen,22.6,CHI
Olden Polynice,14.7,SAC
Mark Price,20.6,CLE
Dino Radja,17.9,BOS
Khalid Reeves,16.9,MIA
J.R. Reid,12.7,SAS
Glen Rice,19.7,MIA
Pooh Richardson,12.6,LAC
Mitch Richmond,17.2,SAC
Isaiah Rider,15.6,MIN
Clifford Robinson,18.3,POR
David Robinson,29.1,SAS
Glenn Robinson,16.6,MIL
James Robinson,10.5,POR
Dennis Rodman,16.6,SAS
Carlos Rogers,14.3,GSW
Rodney Rogers,15.2,DEN
Sean Rooks,12.6,MIN
Jalen Rose,15.1,DEN
Donald Royal,12.2,ORL
Clifford Rozier,11.5,GSW
John Salley,11.4,MIA
Detlef Schrempf,20.3,SEA
Byron Scott,15.8,IND
Dennis Scott,16.3,ORL
Malik Sealy,14.7,LAC
Rony Seikaly,12.7,GSW
Brian Shaw,10.4,ORL
Lionel Simmons,10.0,SAC
Scott Skiles,15.7,WSB
Charles Smith,13.9,NYK
Chris Smith,11.2,MIN
Kenny Smith,16.2,HOU
Michael Smith,13.5,SAC
Steve Smith,16.1,ATL
Tony Smith,11.0,LAL
Rik Smits,19.5,IND
Latrell Sprewell,14.1,GSW
John Starks,13.8,NYK
Bryant Stith,14.4,DEN
John Stockton,23.3,UTA
Rod Strickland,21.6,POR
Derek Strong,12.5,BOS
Roy Tarpley,17.8,DAL
Otis Thorpe,14.7,HOU
Sedale Threatt,15.8,LAL
Wayman Tisdale,13.8,PHO
Nick Van Exel,16.3,LAL
Loy Vaught,17.1,LAC
Rex Walters,10.2,NJN
Clarence Weatherspoon,15.2,PHI
Spud Webb,13.7,SAC
Chris Webber,20.1,WSB
David Wesley,12.9,BOS
Doug West,11.6,MIN
Mark West,12.8,DET
Dominique Wilkins,16.3,BOS
Buck Williams,13.6,POR
Hot Rod Williams,14.6,CLE
Lorenzo Williams,10.3,DAL
Reggie Williams,16.9,DEN
Scott Williams,12.6,PHI
Walt Williams,15.0,SAC
Kevin Willis,16.1,MIA
David Wood,10.3,GSW
Haywoode Workman,12.1,IND
Sharone Wright,14.0,PHI
