name,per,team
Shareef Abdur-Rahim,19.1,VAN
Ray Allen,22.9,MIL
John Amaechi,8.7,ORL
Derek Anderson,17.1,SAS
Shandon Anderson,11.9,HOU
Darrell Armstrong,18.6,ORL
Chucky Atkins,12.2,DET
Stacey Augmon,12.3,POR
Vin Baker,13.0,SEA
Dana Barros,14.3,DET
Brent Barry,16.6,SEA
Jon Barry,12.4,SAC
Travis Best,16.7,IND
Mike Bibby,16.8,VAN
Chauncey Billups,14.1,MIN
Mookie Blaylock,15.8,GSW
Mark Blount,11.1,BOS
Bruce Bowen,8.1,MIA
Shawn Bradley,16.2,DAL
Elton Brand,20.4,CHI
Terrell Brandon,20.0,MIN
P.J. Brown,13.3,CHH
Randy Brown,8.2,BOS
Kobe Bryant,24.5,LAL
Jason Caffey,13.7,MIL
Marcus Camby,20.9,NYK
Elden Campbell,16.4,CHH
Anthony Carter,11.3,MIA
Vince Carter,25.0,TOR
Sam Cassell,20.1,MIL
Chris Childs,9.1,NYK
Doug Christie,14.8,SAC
Mateen Cleaves,9.0,DET
Jamal Crawford,8.5,CHI
Austin Croshere,14.3,IND
Vonteego Cummings,10.4,GSW
Michael Curry,7.5,DET
Erick Dampier,10.0,GSW
Antonio Daniels,15.5,SAS
Antonio Davis,16.5,TOR
Baron Davis,16.6,CHH
Dale Davis,15.1,POR
Emanual Davis,11.8,SEA
Hubert Davis,9.1,DAL
Tony Delk,13.4,PHO
Michael Dickerson,12.4,VAN
Vlade Divac,17.7,SAC
Michael Doleac,9.9,ORL
Keyon Dooling,12.6,LAC
Sherman Douglas,9.9,NJN
Bryce Drew,7.9,CHI
Tim Duncan,23.8,SAS
Howard Eisley,11.7,DAL
Mario Elie,9.3,PHO
Sean Elliott,12.4,SAS
LaPhonso Ellis,16.0,MIN
Evan Eschmeyer,10.8,NJN
Patrick Ewing,12.9,SEA
Danny Ferry,10.1,SAS
Michael Finley,18.2,DAL
Marcus Fizer,11.0,CHI
Jeff Foster,12.5,IND
Rick Fox,13.8,LAL
Adonal Foyle,12.4,GSW
Steve Francis,21.6,HOU
Kevin Garnett,23.9,MIN
Pat Garrity,10.1,ORL
Chris Gatling,15.6,CLE
Brian Grant,17.5,MIA
Horace Grant,14.3,LAL
A.C. Green,11.2,MIA
Tom Gugliotta,11.1,PHO
Richard Hamilton,15.7,WAS
Tim Hardaway,16.7,MIA
Ron Harper,12.5,LAL
Matt Harpring,13.3,CLE
Al Harrington,10.2,IND
Othella Harrington,11.7,VAN
Lucious Harris,12.9,NJN
Alan Henderson,14.0,ATL
Tyrone Hill,12.4,PHI
Fred Hoiberg,15.3,CHI
Robert Horry,11.0,LAL
Allan Houston,16.1,NYK
Juwan Howard,15.8,WAS
Troy Hudson,10.2,ORL
Larry Hughes,13.9,GSW
Lindsey Hunter,14.8,MIL
Allen Iverson,24.0,PHI
Bobby Jackson,13.1,SAC
Jim Jackson,9.7,CLE
Marc Jackson,16.1,GSW
Mark Jackson,16.3,TOR
Stephen Jackson,12.1,NJN
Antawn Jamison,19.0,GSW
Avery Johnson,11.5,SAS
DerMarr Johnson,8.4,ATL
Ervin Johnson,11.2,MIL
Larry Johnson,11.2,NYK
Damon Jones,13.0,VAN
Eddie Jones,18.8,MIA
Shawn Kemp,11.4,POR
Jason Kidd,19.4,PHO
Brevin Knight,12.9,ATL
Raef LaFrentz,17.6,DEN
Trajan Langdon,11.8,CLE
Voshon Lenard,13.2,DEN
Rashard Lewis,17.3,SEA
Grant Long,11.4,VAN
Felipe Lopez,11.9,WAS
George Lynch,12.4,PHI
Corey Maggette,18.2,LAC
Jamaal Magloire,13.4,CHH
Dan Majerle,9.4,MIA
Karl Malone,24.7,UTA
Matt Maloney,10.4,ATL
Danny Manning,14.3,UTA
Stephon Marbury,22.7,NJN
Shawn Marion,21.0,PHO
Donyell Marshall,19.9,UTA
Kenyon Martin,13.4,NJN
Jamal Mashburn,17.5,CHH
Anthony Mason,17.4,MIA
Desmond Mason,10.5,SEA
George McCloud,12.9,DEN
Jelani McCoy,11.1,SEA
Antonio McDyess,22.0,DEN
Tracy McGrady,24.9,ORL
Jeff McInnis,15.6,LAC
Aaron McKie,15.1,PHI
Ron Mercer,14.8,CHI
Chris Mihm,12.6,CLE
Darius Miles,14.7,LAC
Andre Miller,20.1,CLE
Brad Miller,16.4,CHI
Mike Miller,13.2,ORL
Reggie Miller,17.3,IND
Cuttino Mobley,17.7,HOU
Mikki Moore,12.9,DET
Lamond Murray,13.9,CLE
Dikembe Mutombo,16.5,ATL
Steve Nash,19.6,DAL
Tyrone Nesby,9.0,WAS
Rasho Nesterovic,10.4,MIN
Johnny Newman,13.0,NJN
Moochie Norris,16.2,HOU
Dirk Nowitzki,22.8,DAL
Jermaine O'Neal,17.5,IND
Shaquille O'Neal,30.2,LAL
Charles Oakley,11.6,TOR
Lamar Odom,18.9,LAC
Hakeem Olajuwon,20.7,HOU
Michael Olowokandi,10.0,LAC
Greg Ostertag,13.3,UTA
Bo Outlaw,15.7,ORL
Robert Pack,14.8,DEN
Milt Palacio,12.3,BOS
Ruben Patterson,19.3,SEA
Gary Payton,22.1,SEA
Anthony Peeler,12.6,MIN
Morris Peterson,14.1,TOR
Eric Piatkowski,14.6,LAC
Paul Pierce,22.3,BOS
Scottie Pippen,15.3,POR
Scot Pollard,15.0,SAC
Olden Polynice,9.9,UTA
Chris Porter,11.1,GSW
Terry Porter,15.5,SAS
James Posey,12.5,DEN
Vitaly Potapenko,12.8,BOS
Theo Ratliff,16.3,PHI
Bryant Reeves,12.8,VAN
Glen Rice,13.7,NYK
Quentin Richardson,16.5,LAC
Mitch Richmond,14.9,WAS
Isaiah Rider,11.8,LAL
Clifford Robinson,14.8,PHO
David Robinson,23.7,SAS
Eddie Robinson,17.9,CHH
Glenn Robinson,20.1,MIL
Rodney Rogers,14.6,PHO
Sean Rooks,11.5,LAC
Jalen Rose,17.8,IND
Malik Rose,14.8,SAS
Bryon Russell,14.1,UTA
Arvydas Sabonis,18.4,POR
Brian Shaw,10.9,LAL
Joe Smith,14.6,DET
Michael Smith,14.0,WAS
Steve Smith,15.9,POR
Eric Snow,14.0,PHI
Latrell Sprewell,15.1,NYK
Jerry Stackhouse,21.8,DET
John Starks,9.3,UTA
Bryant Stith,11.7,BOS
John Stockton,22.3,UTA
Peja Stojakovic,18.4,SAC
Damon Stoudamire,16.3,POR
Rod Strickland,17.4,WAS
Bob Sura,11.2,GSW
Stromile Swift,13.1,VAN
Wally Szczerbiak,15.8,MIN
Maurice Taylor,14.9,HOU
Jason Terry,17.3,ATL
Kenny Thomas,11.2,HOU
Kurt Thomas,16.9,NYK
Tim Thomas,16.4,MIL
Robert Traylor,14.1,CLE
Hedo Turkoglu,11.7,SAC
Nick Van Exel,18.5,DEN
Keith Van Horn,15.5,NJN
Jacque Vaughn,12.8,UTA
Antoine Walker,18.9,BOS
Ben Wallace,14.8,DET
Rasheed Wallace,20.9,POR
Charlie Ward,14.5,NYK
Clarence Weatherspoon,17.4,CLE
Chris Webber,24.7,SAC
Bonzi Wells,18.8,POR
David Wesley,15.3,CHH
Jahidi White,14.7,WAS
Chris Whitney,13.2,WAS
Aaron Williams,15.1,NJN
Alvin Williams,15.2,TOR
Eric Williams,10.0,BOS
Jason Williams,12.8,SAC
Monty Williams,11.0,ORL
Scott Williams,14.2,MIL
Shammond Williams,15.4,SEA
Walt Williams,12.6,HOU
Kevin Willis,14.1,DEN
Metta World Peace,13.6,CHI
Lorenzen Wright,15.7,ATL
