name,per,team
Arron Afflalo,8.9,DET
LaMarcus Aldridge,19.1,POR
Ray Allen,17.3,BOS
Rafer Alston,12.8,HOU
Louis Amundson,13.3,PHO
Chris Andersen,18.1,DEN
Ryan Anderson,13.6,NJN
Carmelo Anthony,19.0,DEN
Joel Anthony,9.3,MIA
Trevor Ariza,15.5,LAL
Hilton Armstrong,10.7,NOH
Darrell Arthur,11.3,MEM
D.J. Augustin,14.9,CHA
Kelenna Azubuike,14.7,GSW
Leandro Barbosa,19.4,PHO
Jose Barea,13.4,DAL
Andrea Bargnani,14.6,TOR
Matt Barnes,12.6,PHO
Brandon Bass,16.4,DAL
Tony Battie,11.9,ORL
Shane Battier,10.7,HOU
Nicolas Batum,12.9,POR
Michael Beasley,17.2,MIA
Charlie Bell,9.8,MIL
Raja Bell,11.7,CHA
Mike Bibby,16.3,ATL
Andris Biedrins,19.1,GSW
Chauncey Billups,18.8,DEN
Steve Blake,14.4,POR
Andray Blatche,15.0,WAS
Andrew Bogut,16.2,MIL
Matt Bonner,15.0,SAS
Carlos Boozer,17.2,UTA
Chris Bosh,22.1,TOR
Bruce Bowen,5.4,SAS
Ronnie Brewer,16.1,UTA
Aaron Brooks,12.9,HOU
Kobe Bryant,24.4,LAL
Caron Butler,18.8,WAS
Rasual Butler,11.8,NOH
Andrew Bynum,20.0,LAL
Jose Calderon,18.8,TOR
Marcus Camby,18.7,LAC
Rodney Carney,12.1,MIN
Anthony Carter,10.8,DEN
Vince Carter,19.3,NJN
Mario Chalmers,13.3,MIA
Tyson Chandler,13.4,NOH
Wilson Chandler,12.9,NYK
Nick Collison,14.8,OKC
Mike Conley,14.3,MEM
Daequan Cook,10.3,MIA
Jamal Crawford,15.0,GSW
Javaris Crittenton,10.3,WAS
Samuel Dalembert,13.2,PHI
Erick Dampier,15.7,DAL
Marquis Daniels,12.8,IND
Baron Davis,14.5,LAC
Glen Davis,10.7,BOS
Luol Deng,14.7,CHI
Boris Diaw,14.9,CHA
Keyon Dooling,13.6,NJN
Chris Duhon,12.2,NYK
Tim Duncan,24.4,SAS
Kevin Durant,20.8,OKC
Maurice Evans,11.1,ATL
Reggie Evans,10.4,PHI
Jordan Farmar,9.9,LAL
Raymond Felton,13.7,CHA
Rudy Fernandez,15.5,POR
Michael Finley,11.4,SAS
Derek Fisher,12.1,LAL
T.J. Ford,16.6,IND
Jeff Foster,13.0,IND
Randy Foye,13.7,MIN
Francisco Garcia,14.1,SAC
Kevin Garnett,21.2,BOS
Marc Gasol,16.7,MEM
Pau Gasol,22.2,LAL
Rudy Gay,15.3,MEM
Daniel Gibson,10.1,CLE
Manu Ginobili,22.9,SAS
Ryan Gomes,12.5,MIN
Ben Gordon,17.0,CHI
Eric Gordon,14.9,LAC
Joey Graham,11.9,TOR
Danny Granger,21.8,IND
Jeff Green,13.9,OKC
Willie Green,11.1,PHI
Richard Hamilton,16.9,DET
Al Harrington,16.4,NYK
Devin Harris,21.6,NJN
Udonis Haslem,13.1,MIA
Trenton Hassell,7.2,NJN
Spencer Hawes,13.0,SAC
Jarvis Hayes,10.8,NJN
Roy Hibbert,16.1,IND
Nene Hilario,18.8,DEN
George Hill,11.6,SAS
Grant Hill,15.2,PHO
Kirk Hinrich,13.9,CHI
Al Horford,17.0,ATL
Eddie House,15.4,BOS
Dwight Howard,25.4,ORL
Josh Howard,17.0,DAL
Andre Iguodala,18.4,PHI
Zydrunas Ilgauskas,18.0,CLE
Allen Iverson,15.9,DET
Jarrett Jack,13.1,IND
Bobby Jackson,12.4,SAC
Stephen Jackson,16.1,GSW
LeBron James,31.7,CLE
Mike James,9.9,WAS
Antawn Jamison,20.6,WAS
Al Jefferson,23.1,MIN
Richard Jefferson,15.4,MIL
Jared Jeffries,9.4,NYK
Yi Jianlian,10.9,NJN
Anthony Johnson,10.3,ORL
Joe Johnson,18.2,ATL
Dahntay Jones,9.0,DEN
Fred Jones,10.4,LAC
Jason Kapono,8.9,TOR
Jason Kidd,16.9,DAL
Andrei Kirilenko,16.8,UTA
Linas Kleiza,13.2,DEN
Kyle Korver,12.1,UTA
Nenad Krstic,13.6,OKC
Carl Landry,17.7,HOU
Courtney Lee,10.7,ORL
David Lee,19.0,NYK
Rashard Lewis,16.8,ORL
Brook Lopez,17.9,NJN
Kevin Love,18.3,MIN
Kyle Lowry,14.1,MEM
Corey Maggette,16.9,GSW
Shawn Marion,15.7,MIA
Kenyon Martin,13.6,DEN
Kevin Martin,19.2,SAC
Desmond Mason,7.1,OKC
Roger Mason,11.9,SAS
Jason Maxiell,15.8,DET
O.J. Mayo,14.2,MEM
Luc Mbah a Moute,12.3,MIL
Antonio McDyess,16.6,DET
JaVale McGee,17.0,WAS
Tracy McGrady,16.3,HOU
Dominic McGuire,10.8,WAS
C.J. Miles,11.8,UTA
Darko Milicic,13.8,MEM
Andre Miller,18.6,PHI
Brad Miller,15.7,SAC
Mike Miller,13.8,MIN
Paul Millsap,18.6,UTA
Yao Ming,22.7,HOU
Jamario Moon,14.2,TOR
Anthony Morrow,14.7,GSW
Troy Murphy,17.8,IND
Ronald Murray,14.7,ATL
Steve Nash,19.5,PHO
Jameer Nelson,20.6,ORL
Rasho Nesterovic,14.1,IND
Joakim Noah,16.5,CHI
Andres Nocioni,11.4,CHI
Steve Novak,13.5,LAC
Dirk Nowitzki,23.1,DAL
Jermaine O'Neal,15.4,TOR
Shaquille O'Neal,22.3,PHO
Greg Oden,18.1,POR
Lamar Odom,16.6,LAL
Emeka Okafor,18.0,CHA
Mehmet Okur,17.5,UTA
Travis Outlaw,15.1,POR
Zaza Pachulia,14.1,ATL
Anthony Parker,12.1,TOR
Tony Parker,23.4,SAS
Chris Paul,30.0,NOH
Sasha Pavlovic,8.6,CLE
Kendrick Perkins,13.2,BOS
Paul Pierce,17.7,BOS
Mickael Pietrus,11.6,ORL
James Posey,10.8,NOH
Leon Powe,17.2,BOS
Tayshaun Prince,15.0,DET
Joel Przybilla,15.4,POR
Anthony Randolph,16.9,GSW
Zach Randolph,19.6,LAC
Michael Redd,17.9,MIL
J.J. Redick,9.9,ORL
Jason Richardson,16.9,PHO
Quentin Richardson,11.6,NYK
Luke Ridnour,12.9,MIL
Nate Robinson,18.9,NYK
Sergio Rodriguez,12.5,POR
Rajon Rondo,18.8,BOS
Derrick Rose,16.0,CHI
Quinton Ross,6.9,MEM
Brandon Roy,24.0,POR
Brandon Rush,9.0,IND
John Salmons,16.0,SAC
Luis Scola,17.0,HOU
Ramon Sessions,17.6,MIL
Bobby Simmons,12.0,NJN
Craig Smith,16.9,MIN
J.R. Smith,16.8,DEN
Josh Smith,17.2,ATL
Darius Songaila,13.9,WAS
Marreese Speights,17.9,PHI
Peja Stojakovic,12.5,NOH
Amar'e Stoudemire,20.3,PHO
Rodney Stuckey,14.8,DET
Wally Szczerbiak,12.1,CLE
Sebastian Telfair,10.8,MIN
Jason Terry,19.3,DAL
Kurt Thomas,14.0,SAS
Tyrus Thomas,15.9,CHI
Jason Thompson,13.9,SAC
Al Thornton,12.6,LAC
Ronny Turiaf,14.5,GSW
Hedo Turkoglu,14.8,ORL
Ime Udoka,9.5,SAS
Beno Udrih,12.3,SAC
Anderson Varejao,14.6,CLE
Charlie Villanueva,18.6,MIL
Sasha Vujacic,12.6,LAL
Dwyane Wade,30.4,MIA
Von Wafer,14.7,HOU
Ben Wallace,12.2,CLE
Gerald Wallace,18.6,CHA
Rasheed Wallace,14.9,DET
Luke Walton,11.3,LAL
Hakim Warrick,16.9,MEM
C.J. Watson,14.2,GSW
Earl Watson,9.5,OKC
Kyle Weaver,10.2,OKC
David West,18.9,NOH
Delonte West,14.1,CLE
Russell Westbrook,15.2,OKC
Deron Williams,21.1,UTA
Louis Williams,16.3,PHI
Marvin Williams,16.0,ATL
Mo Williams,17.2,CLE
Metta World Peace,15.6,HOU
Antoine Wright,8.6,DAL
Nick Young,13.1,WAS
Thaddeus Young,15.3,PHI
