name,per,team
Tariq Abdul-Wahad,14.4,ORL
Shareef Abdur-Rahim,20.2,VAN
Ray Allen,20.6,MIL
John Amaechi,13.2,ORL
Derek Anderson,16.9,LAC
Kenny Anderson,17.4,BOS
Nick Anderson,11.8,SAC
Shandon Anderson,13.8,HOU
Chris Anstey,15.1,CHI
Greg Anthony,13.0,POR
Darrell Armstrong,19.5,ORL
Chucky Atkins,14.4,ORL
Isaac Austin,10.2,WAS
Vin Baker,14.0,SEA
Dana Barros,15.1,BOS
Brent Barry,14.6,SEA
Jon Barry,15.9,SAC
Tony Battie,15.1,BOS
Travis Best,16.5,IND
Mike Bibby,16.7,VAN
Mookie Blaylock,15.1,GSW
Muggsy Bogues,12.5,TOR
Shawn Bradley,17.0,DAL
Elton Brand,20.6,CHI
Terrell Brandon,20.8,MIN
P.J. Brown,15.3,MIA
Randy Brown,7.3,CHI
Kobe Bryant,21.7,LAL
Mark Bryant,8.9,CLE
Matt Bullard,11.9,HOU
Scott Burrell,14.2,NJN
Jason Caffey,12.4,GSW
Marcus Camby,19.0,NYK
Elden Campbell,14.6,CHH
Chris Carr,10.8,CHI
Anthony Carter,11.0,MIA
Vince Carter,23.4,TOR
Sam Cassell,21.1,MIL
Kelvin Cato,15.9,HOU
Cedric Ceballos,18.1,DAL
Calbert Cheaney,6.7,BOS
Chris Childs,8.6,NYK
Doug Christie,15.8,TOR
Keon Clark,15.9,DEN
Derrick Coleman,18.9,CHH
Bimbo Coles,12.9,ATL
Austin Croshere,16.7,IND
Vonteego Cummings,12.9,GSW
Dell Curry,14.9,TOR
Michael Curry,8.6,DET
Antonio Daniels,15.2,SAS
Antonio Davis,15.1,TOR
Baron Davis,12.9,CHH
Dale Davis,17.4,IND
Hubert Davis,10.8,DAL
Andrew DeClercq,11.4,CLE
Vinny Del Negro,11.7,MIL
Michael Dickerson,15.6,VAN
Vlade Divac,18.0,SAC
Michael Doleac,13.3,ORL
Bryce Drew,10.9,HOU
Tim Duncan,24.8,SAS
Howard Eisley,11.5,UTA
Mario Elie,10.4,SAS
LaPhonso Ellis,13.9,ATL
Patrick Ewing,16.9,NYK
Tony Farmer,15.7,GSW
Jamie Feick,12.3,NJN
Danny Ferry,11.8,CLE
Michael Finley,19.2,DAL
Derek Fisher,9.6,LAL
Rick Fox,11.7,LAL
Adonal Foyle,12.3,GSW
Steve Francis,18.4,HOU
Lawrence Funderburke,18.0,SAC
Kevin Garnett,23.6,MIN
Pat Garrity,11.9,ORL
Chris Gatling,17.4,ORL
Matt Geiger,13.9,PHI
Kendall Gill,15.2,NJN
Brian Grant,14.0,POR
Horace Grant,11.7,SEA
A.C. Green,11.2,LAL
Adrian Griffin,12.6,BOS
Tom Gugliotta,16.4,PHO
Richard Hamilton,11.6,WAS
Anfernee Hardaway,17.9,PHO
Tim Hardaway,16.4,MIA
Ron Harper,12.0,LAL
Othella Harrington,13.3,VAN
Lucious Harris,13.3,NJN
Hersey Hawkins,11.4,CHI
Alan Henderson,14.7,ATL
Cedric Henderson,7.3,CLE
Grant Hill,24.5,DET
Tyrone Hill,14.6,PHI
Jeff Hornacek,16.3,UTA
Robert Horry,14.3,LAL
Allan Houston,16.5,NYK
Juwan Howard,12.3,WAS
Troy Hudson,11.6,LAC
Larry Hughes,13.9,PHI
Larry Hughes,15.4,GSW
Lindsey Hunter,13.2,DET
Allen Iverson,20.0,PHI
Bobby Jackson,14.6,MIN
Jaren Jackson,9.7,SAS
Jim Jackson,14.3,ATL
Mark Jackson,17.7,IND
Antawn Jamison,16.7,GSW
Avery Johnson,14.8,SAS
Ervin Johnson,12.7,MIL
Larry Johnson,12.4,NYK
Eddie Jones,19.9,CHH
Shawn Kemp,17.2,CLE
Jerome Kersey,10.0,SAS
Jason Kidd,18.4,PHO
Gerard King,13.4,WAS
Kerry Kittles,16.1,NJN
Brevin Knight,15.3,CLE
Christian Laettner,14.8,DET
Raef LaFrentz,16.3,DEN
Voshon Lenard,13.9,MIA
Rashard Lewis,16.5,SEA
Randy Livingston,11.4,PHO
Luc Longley,8.8,PHO
George Lynch,13.7,PHI
Corey Maggette,14.1,ORL
Dan Majerle,11.4,MIA
Karl Malone,27.1,UTA
Matt Maloney,9.4,CHI
Danny Manning,10.1,MIL
Stephon Marbury,20.7,NJN
Shawn Marion,17.1,PHO
Donyell Marshall,17.1,GSW
Jamal Mashburn,15.4,MIA
Anthony Mason,14.4,CHH
George McCloud,13.2,DEN
Antonio McDyess,19.6,DEN
Tracy McGrady,20.0,TOR
Jim McIlvaine,10.0,NJN
Aaron McKie,13.2,PHI
Ron Mercer,13.4,DEN
Andre Miller,17.9,CLE
Oliver Miller,15.5,PHO
Reggie Miller,17.3,IND
Terry Mills,11.0,DET
Sam Mitchell,12.0,MIN
Cuttino Mobley,16.0,HOU
Alonzo Mourning,25.8,MIA
Lamond Murray,14.9,CLE
Tracy Murray,14.1,WAS
Dikembe Mutombo,19.4,ATL
Steve Nash,13.5,DAL
Tyrone Nesby,12.6,LAC
Rasho Nesterovic,11.0,MIN
Johnny Newman,13.6,NJN
Dirk Nowitzki,17.5,DAL
Shaquille O'Neal,30.6,LAL
Charles Oakley,10.1,TOR
Lamar Odom,16.8,LAC
Hakeem Olajuwon,16.7,HOU
Michael Olowokandi,10.4,LAC
Greg Ostertag,13.5,UTA
Bo Outlaw,15.3,ORL
Ruben Patterson,18.8,SEA
Gary Payton,23.6,SEA
Anthony Peeler,13.2,MIN
Will Perdue,6.6,CHI
Sam Perkins,12.1,IND
Wesley Person,12.0,CLE
Eric Piatkowski,13.0,LAC
Paul Pierce,19.8,BOS
Scottie Pippen,16.4,POR
Scot Pollard,15.8,SAC
Olden Polynice,10.4,UTA
Terry Porter,16.6,SAS
James Posey,13.0,DEN
Vitaly Potapenko,13.8,BOS
Theo Ratliff,16.7,PHI
Bryant Reeves,10.6,VAN
Glen Rice,16.2,LAL
Mitch Richmond,16.5,WAS
Isaiah Rider,15.7,ATL
Clifford Robinson,17.3,PHO
David Robinson,24.6,SAS
Eddie Robinson,16.4,CHH
Glenn Robinson,17.8,MIL
Carlos Rogers,15.2,HOU
Rodney Rogers,17.1,PHO
Sean Rooks,11.8,DAL
Jalen Rose,16.7,IND
Malik Rose,13.2,SAS
Bryon Russell,15.1,UTA
Arvydas Sabonis,20.3,POR
Detlef Schrempf,14.5,POR
Dennis Scott,9.4,VAN
Malik Sealy,14.4,MIN
Brian Shaw,10.9,LAL
Dickey Simpkins,5.5,CHI
Joe Smith,14.4,MIN
Michael Smith,14.5,WAS
Steve Smith,17.3,POR
Rik Smits,17.3,IND
Eric Snow,12.8,PHI
Latrell Sprewell,15.7,NYK
Jerry Stackhouse,18.9,DET
John Starks,12.4,GSW
John Stockton,22.4,UTA
Peja Stojakovic,16.3,SAC
Damon Stoudamire,15.5,POR
Erick Strickland,16.5,DAL
Rod Strickland,17.1,WAS
Bob Sura,15.6,CLE
Wally Szczerbiak,15.4,MIN
Maurice Taylor,13.4,LAC
Jason Terry,13.9,ATL
Kenny Thomas,12.0,HOU
Kurt Thomas,13.6,NYK
Tim Thomas,14.7,MIL
Nick Van Exel,16.0,DEN
Keith Van Horn,18.1,NJN
Antoine Walker,17.8,BOS
Ben Wallace,14.4,ORL
Rasheed Wallace,18.1,POR
Charlie Ward,13.6,NYK
Clarence Weatherspoon,16.2,MIA
Chris Webber,23.4,SAC
Bonzi Wells,17.3,POR
David Wesley,15.0,CHH
Jahidi White,15.7,WAS
Chris Whitney,15.6,WAS
Aaron Williams,17.7,WAS
Eric Williams,11.8,BOS
Jason Williams,11.6,SAC
Jerome Williams,17.9,DET
Monty Williams,13.8,ORL
Scott Williams,15.6,MIL
Walt Williams,15.6,HOU
Corliss Williamson,14.0,SAC
Kevin Willis,12.3,TOR
Metta World Peace,13.4,CHI
Lorenzen Wright,13.9,ATL
