team2Score,team1Score,team1,team2
89,95,Boston Celtics,Cleveland Cavaliers
91,102,Washington Wizards,Dallas Mavericks
99,92,Los Angeles Clippers,Los Angeles Lakers
96,87,Houston Rockets,Portland Trail Blazers
120,109,Indiana Pacers,Atlanta Hawks
92,59,Charlotte Bobcats,Boston Celtics
114,105,Utah Jazz,Denver Nuggets
107,108,Houston Rockets,Golden State Warriors
107,109,Phoenix Suns,Los Angeles Clippers
74,96,Detroit Pistons,Memphis Grizzlies
115,93,New York Knicks,Miami Heat
95,93,New Jersey Nets,Minnesota Timberwolves
102,89,Sacramento Kings,Oklahoma City Thunder
120,106,Philadelphia 76ers,Orlando Magic
113,96,New Orleans Hornets,San Antonio Spurs
101,91,Cleveland Cavaliers,Toronto Raptors
92,85,San Antonio Spurs,Chicago Bulls
94,97,Denver Nuggets,Portland Trail Blazers
100,89,Washington Wizards,Atlanta Hawks
118,90,Chicago Bulls,Boston Celtics
102,100,New York Knicks,Charlotte Bobcats
83,91,Oklahoma City Thunder,Detroit Pistons
83,96,Miami Heat,Indiana Pacers
80,94,Dallas Mavericks,Los Angeles Lakers
115,107,Toronto Raptors,Memphis Grizzlies
87,104,Cleveland Cavaliers,Minnesota Timberwolves
85,95,Orlando Magic,New Jersey Nets
97,92,Sacramento Kings,New Orleans Hornets
99,86,Milwaukee Bucks,Philadelphia 76ers
123,101,Golden State Warriors,Phoenix Suns
111,98,Los Angeles Clippers,Utah Jazz
90,79,Charlotte Bobcats,Cleveland Cavaliers
111,107,Portland Trail Blazers,Houston Rockets
84,93,Dallas Mavericks,Los Angeles Clippers
96,85,Detroit Pistons,Milwaukee Bucks
127,141,Philadelphia 76ers,New York Knicks
113,94,Sacramento Kings,San Antonio Spurs
123,104,New Jersey Nets,Washington Wizards
97,87,New Orleans Hornets,Boston Celtics
133,123,Memphis Grizzlies,Denver Nuggets
118,110,Atlanta Hawks,Los Angeles Lakers
95,87,Chicago Bulls,Miami Heat
74,83,Portland Trail Blazers,Oklahoma City Thunder
120,112,Minnesota Timberwolves,Phoenix Suns
116,125,Orlando Magic,Toronto Raptors
79,68,New Jersey Nets,Charlotte Bobcats
93,90,Minnesota Timberwolves,Los Angeles Clippers
117,111,New Orleans Hornets,New York Knicks
127,116,Memphis Grizzlies,Sacramento Kings
96,113,Houston Rockets,Utah Jazz
83,81,Milwaukee Bucks,Chicago Bulls
102,90,Washington Wizards,Cleveland Cavaliers
96,85,Utah Jazz,Dallas Mavericks
85,80,Orlando Magic,Detroit Pistons
93,111,Denver Nuggets,Indiana Pacers
96,104,Phoenix Suns,Miami Heat
