team2Score,team1Score,team1,team2
121,104,New York Knicks,Atlanta Hawks
114,106,Houston Rockets,Boston Celtics
114,105,Indiana Pacers,Detroit Pistons
105,103,Milwaukee Bucks,Kansas City Kings
102,95,Cleveland Cavaliers,New Jersey Nets
97,89,Golden State Warriors,Phoenix Suns
101,85,Utah Jazz,Portland Trail Blazers
102,103,Los Angeles Lakers,San Diego Clippers
92,93,Philadelphia 76ers,Washington Bullets
117,139,Boston Celtics,Cleveland Cavaliers
96,125,Milwaukee Bucks,Denver Nuggets
96,102,Chicago Bulls,Golden State Warriors
115,101,Atlanta Hawks,Indiana Pacers
125,118,Washington Bullets,New York Knicks
113,105,Houston Rockets,Philadelphia 76ers
110,112,Detroit Pistons,San Antonio Spurs
112,102,Chicago Bulls,Phoenix Suns
109,93,Denver Nuggets,Portland Trail Blazers
98,93,Seattle SuperSonics,San Diego Clippers
107,131,Milwaukee Bucks,Utah Jazz
116,118,San Antonio Spurs,Atlanta Hawks
137,117,Detroit Pistons,Cleveland Cavaliers
106,108,Golden State Warriors,Denver Nuggets
113,100,New Jersey Nets,Indiana Pacers
105,96,Chicago Bulls,Los Angeles Lakers
126,121,Houston Rockets,New York Knicks
102,86,Seattle SuperSonics,Phoenix Suns
88,81,San Diego Clippers,Portland Trail Blazers
127,108,Cleveland Cavaliers,Boston Celtics
116,112,Indiana Pacers,Houston Rockets
94,107,Golden State Warriors,Kansas City Kings
125,97,Denver Nuggets,Milwaukee Bucks
88,113,Philadelphia 76ers,New Jersey Nets
112,110,Los Angeles Lakers,Seattle SuperSonics
100,97,Atlanta Hawks,Washington Bullets
115,85,Indiana Pacers,Atlanta Hawks
141,134,San Antonio Spurs,Cleveland Cavaliers
129,115,New York Knicks,Detroit Pistons
111,107,Chicago Bulls,San Diego Clippers
92,107,Portland Trail Blazers,Utah Jazz
130,93,Washington Bullets,Boston Celtics
84,107,Kansas City Kings,Denver Nuggets
82,99,Portland Trail Blazers,Los Angeles Lakers
95,94,Phoenix Suns,Milwaukee Bucks
106,111,New York Knicks,New Jersey Nets
112,104,Detroit Pistons,Philadelphia 76ers
106,98,San Diego Clippers,Seattle SuperSonics
116,104,Phoenix Suns,Chicago Bulls
101,96,Utah Jazz,Golden State Warriors
107,102,Atlanta Hawks,Houston Rockets
131,128,Boston Celtics,Indiana Pacers
111,136,Philadelphia 76ers,New York Knicks
129,127,Cleveland Cavaliers,San Antonio Spurs
117,106,Detroit Pistons,Washington Bullets
122,85,Phoenix Suns,Kansas City Kings
106,97,Seattle SuperSonics,Los Angeles Lakers
113,111,Chicago Bulls,Milwaukee Bucks
91,74,Golden State Warriors,Portland Trail Blazers
110,109,San Diego Clippers,Utah Jazz
108,103,New Jersey Nets,Chicago Bulls
111,121,Atlanta Hawks,Cleveland Cavaliers
102,87,Utah Jazz,Los Angeles Lakers
136,112,Indiana Pacers,New York Knicks
108,114,Milwaukee Bucks,Phoenix Suns
90,88,Kansas City Kings,Portland Trail Blazers
129,120,Boston Celtics,San Antonio Spurs
132,127,Denver Nuggets,San Diego Clippers
128,118,Cleveland Cavaliers,Atlanta Hawks
87,88,Portland Trail Blazers,Denver Nuggets
104,103,Washington Bullets,Detroit Pistons
108,110,Phoenix Suns,Golden State Warriors
99,100,Boston Celtics,Houston Rockets
132,110,Indiana Pacers,Philadelphia 76ers
105,92,Kansas City Kings,Seattle SuperSonics
115,118,Milwaukee Bucks,San Diego Clippers
113,105,Chicago Bulls,Utah Jazz
113,129,San Antonio Spurs,Detroit Pistons
118,108,Washington Bullets,Indiana Pacers
116,104,Kansas City Kings,Los Angeles Lakers
90,94,Atlanta Hawks,New Jersey Nets
127,116,New York Knicks,Philadelphia 76ers
95,93,Chicago Bulls,Portland Trail Blazers
86,92,Phoenix Suns,Seattle SuperSonics
95,100,Boston Celtics,Atlanta Hawks
106,112,Philadelphia 76ers,Cleveland Cavaliers
116,96,Utah Jazz,Denver Nuggets
101,95,Kansas City Kings,Golden State Warriors
132,118,Detroit Pistons,Milwaukee Bucks
94,92,New Jersey Nets,New York Knicks
128,121,Indiana Pacers,San Antonio Spurs
110,105,Seattle SuperSonics,San Diego Clippers
97,90,Golden State Warriors,Los Angeles Lakers
120,115,Houston Rockets,New Jersey Nets
88,89,Phoenix Suns,Portland Trail Blazers
101,106,Kansas City Kings,San Diego Clippers
108,97,Chicago Bulls,Seattle SuperSonics
105,111,Los Angeles Lakers,Chicago Bulls
124,112,Houston Rockets,Cleveland Cavaliers
121,112,New York Knicks,Denver Nuggets
142,109,San Antonio Spurs,Phoenix Suns
102,97,Philadelphia 76ers,Atlanta Hawks
111,106,Portland Trail Blazers,Golden State Warriors
133,129,Houston Rockets,Indiana Pacers
125,108,Utah Jazz,Kansas City Kings
110,106,Los Angeles Lakers,Milwaukee Bucks
79,116,Boston Celtics,New Jersey Nets
123,130,San Antonio Spurs,San Diego Clippers
97,89,Denver Nuggets,Seattle SuperSonics
114,105,Cleveland Cavaliers,Washington Bullets
125,127,Cleveland Cavaliers,Detroit Pistons
118,134,New York Knicks,Utah Jazz
113,99,Chicago Bulls,Denver Nuggets
111,112,New York Knicks,Kansas City Kings
112,110,Phoenix Suns,Los Angeles Lakers
115,93,Indiana Pacers,New Jersey Nets
81,85,Atlanta Hawks,Philadelphia 76ers
102,123,Portland Trail Blazers,San Diego Clippers
117,107,San Antonio Spurs,Seattle SuperSonics
110,107,New Jersey Nets,Atlanta Hawks
134,136,Milwaukee Bucks,Chicago Bulls
123,110,Kansas City Kings,Cleveland Cavaliers
111,114,Houston Rockets,Detroit Pistons
130,103,Denver Nuggets,Golden State Warriors
114,120,Philadelphia 76ers,Indiana Pacers
126,109,Utah Jazz,San Diego Clippers
97,118,Boston Celtics,Washington Bullets
101,114,Seattle SuperSonics,Milwaukee Bucks
101,98,Kansas City Kings,New Jersey Nets
127,124,San Antonio Spurs,Portland Trail Blazers
97,114,Seattle SuperSonics,Chicago Bulls
134,117,Indiana Pacers,Cleveland Cavaliers
127,112,San Diego Clippers,Los Angeles Lakers
117,118,Philadelphia 76ers,Milwaukee Bucks
96,98,Atlanta Hawks,New York Knicks
108,95,New Jersey Nets,San Antonio Spurs
107,120,Phoenix Suns,Utah Jazz
117,105,San Antonio Spurs,Boston Celtics
113,92,Seattle SuperSonics,Denver Nuggets
107,115,Atlanta Hawks,Detroit Pistons
126,109,Los Angeles Lakers,Golden State Warriors
106,101,New Jersey Nets,Houston Rockets
97,90,Portland Trail Blazers,Indiana Pacers
110,102,Kansas City Kings,Philadelphia 76ers
102,114,San Diego Clippers,Phoenix Suns
98,89,Portland Trail Blazers,Milwaukee Bucks
92,96,Denver Nuggets,Utah Jazz
127,119,Kansas City Kings,Boston Celtics
107,92,San Diego Clippers,Chicago Bulls
106,98,Philadelphia 76ers,Detroit Pistons
126,122,Denver Nuggets,Los Angeles Lakers
110,106,Cleveland Cavaliers,Phoenix Suns
125,116,San Antonio Spurs,Washington Bullets
109,105,Washington Bullets,Atlanta Hawks
90,94,Portland Trail Blazers,Chicago Bulls
101,104,Indiana Pacers,Golden State Warriors
112,104,Detroit Pistons,Houston Rockets
133,104,San Diego Clippers,Milwaukee Bucks
119,123,San Antonio Spurs,New York Knicks
95,94,Boston Celtics,Philadelphia 76ers
87,88,Seattle SuperSonics,Utah Jazz
109,112,Portland Trail Blazers,Kansas City Kings
140,126,Cleveland Cavaliers,Los Angeles Lakers
116,91,Denver Nuggets,Phoenix Suns
105,113,Indiana Pacers,Utah Jazz
127,128,Houston Rockets,Chicago Bulls
116,110,Cleveland Cavaliers,Denver Nuggets
110,103,Philadelphia 76ers,Kansas City Kings
101,82,Atlanta Hawks,New Jersey Nets
107,111,Washington Bullets,New York Knicks
92,101,Milwaukee Bucks,Portland Trail Blazers
