team2Score,team1Score,team1,team2
107,98,Sacramento Kings,Dallas Mavericks
87,79,Houston Rockets,Detroit Pistons
89,78,Denver Nuggets,Los Angeles Lakers
95,98,Philadelphia 76ers,Boston Celtics
104,109,Indiana Pacers,Cleveland Cavaliers
75,78,Portland Trail Blazers,Golden State Warriors
114,84,Seattle SuperSonics,Los Angeles Clippers
91,103,Washington Wizards,Memphis Grizzlies
99,93,New York Knicks,Minnesota Timberwolves
77,100,Miami Heat,New Jersey Nets
91,106,Dallas Mavericks,New Orleans Hornets
93,92,Milwaukee Bucks,Orlando Magic
112,82,Atlanta Hawks,Phoenix Suns
101,85,Sacramento Kings,San Antonio Spurs
95,88,Houston Rockets,Toronto Raptors
104,78,Los Angeles Lakers,Utah Jazz
96,103,Washington Wizards,Charlotte Bobcats
94,92,Minnesota Timberwolves,Denver Nuggets
92,86,Cleveland Cavaliers,Miami Heat
94,100,Indiana Pacers,Boston Celtics
106,111,New Jersey Nets,Chicago Bulls
80,102,Utah Jazz,Golden State Warriors
96,105,San Antonio Spurs,Los Angeles Lakers
81,89,Houston Rockets,Memphis Grizzlies
89,90,Orlando Magic,New Orleans Hornets
98,108,Phoenix Suns,Philadelphia 76ers
94,81,Los Angeles Clippers,Portland Trail Blazers
106,85,Atlanta Hawks,Seattle SuperSonics
101,89,Detroit Pistons,Toronto Raptors
111,100,Orlando Magic,Charlotte Bobcats
112,88,Memphis Grizzlies,Dallas Mavericks
82,106,Utah Jazz,Denver Nuggets
99,91,Philadelphia 76ers,Detroit Pistons
86,94,Los Angeles Clippers,Golden State Warriors
104,101,Sacramento Kings,Houston Rockets
100,90,Chicago Bulls,Indiana Pacers
102,88,Cleveland Cavaliers,Milwaukee Bucks
99,92,New Orleans Hornets,Minnesota Timberwolves
80,112,Phoenix Suns,New Jersey Nets
73,107,Boston Celtics,New York Knicks
106,118,Miami Heat,Washington Wizards
106,90,Atlanta Hawks,Los Angeles Lakers
113,94,San Antonio Spurs,Seattle SuperSonics
101,97,Portland Trail Blazers,Toronto Raptors
101,98,Golden State Warriors,Dallas Mavericks
96,99,Detroit Pistons,Los Angeles Clippers
102,91,Denver Nuggets,Utah Jazz
79,93,Cleveland Cavaliers,Atlanta Hawks
74,94,Phoenix Suns,Chicago Bulls
88,108,Seattle SuperSonics,Denver Nuggets
90,87,Memphis Grizzlies,Houston Rockets
103,93,Washington Wizards,Miami Heat
101,102,Indiana Pacers,Minnesota Timberwolves
64,60,Portland Trail Blazers,New Jersey Nets
98,106,Los Angeles Lakers,New Orleans Hornets
96,88,Philadelphia 76ers,New York Knicks
94,84,Dallas Mavericks,Orlando Magic
108,92,Toronto Raptors,Sacramento Kings
90,88,Portland Trail Blazers,Boston Celtics
114,109,Phoenix Suns,Cleveland Cavaliers
68,102,Los Angeles Clippers,Indiana Pacers
110,87,Los Angeles Lakers,Memphis Grizzlies
102,100,Charlotte Bobcats,Milwaukee Bucks
108,100,New Jersey Nets,Philadelphia 76ers
91,71,Golden State Warriors,San Antonio Spurs
108,78,Sacramento Kings,Seattle SuperSonics
95,104,Toronto Raptors,Utah Jazz
106,96,Orlando Magic,Washington Wizards
117,109,Detroit Pistons,Denver Nuggets
91,96,Minnesota Timberwolves,Houston Rockets
93,113,Dallas Mavericks,Miami Heat
91,74,Charlotte Bobcats,Boston Celtics
96,67,Golden State Warriors,Memphis Grizzlies
95,96,Atlanta Hawks,New Orleans Hornets
110,96,Los Angeles Clippers,New York Knicks
122,113,Los Angeles Lakers,Orlando Magic
106,104,Indiana Pacers,Philadelphia 76ers
93,84,Miami Heat,San Antonio Spurs
88,87,Toronto Raptors,Seattle SuperSonics
88,103,San Antonio Spurs,Atlanta Hawks
87,103,Golden State Warriors,Charlotte Bobcats
96,97,Los Angeles Clippers,Chicago Bulls
105,74,Washington Wizards,Cleveland Cavaliers
79,84,Los Angeles Lakers,Houston Rockets
103,97,New York Knicks,Indiana Pacers
94,91,New Orleans Hornets,Milwaukee Bucks
78,94,Dallas Mavericks,New Jersey Nets
111,113,Sacramento Kings,Phoenix Suns
105,102,Toronto Raptors,Portland Trail Blazers
108,93,Detroit Pistons,Utah Jazz
112,110,Milwaukee Bucks,Miami Heat
96,87,Orlando Magic,Philadelphia 76ers
101,89,Denver Nuggets,Sacramento Kings
118,113,Memphis Grizzlies,Seattle SuperSonics
113,122,Dallas Mavericks,Washington Wizards
99,88,Golden State Warriors,Cleveland Cavaliers
69,80,Houston Rockets,New Jersey Nets
88,84,Houston Rockets,Atlanta Hawks
105,107,Utah Jazz,Charlotte Bobcats
101,107,Phoenix Suns,Dallas Mavericks
101,89,Toronto Raptors,Los Angeles Clippers
108,97,Miami Heat,Minnesota Timberwolves
95,103,Seattle SuperSonics,Philadelphia 76ers
113,106,Chicago Bulls,Sacramento Kings
99,81,New York Knicks,San Antonio Spurs
112,106,Toronto Raptors,Denver Nuggets
93,85,Minnesota Timberwolves,Detroit Pistons
98,85,Chicago Bulls,Golden State Warriors
93,86,Atlanta Hawks,Indiana Pacers
103,89,Los Angeles Clippers,Los Angeles Lakers
106,113,Miami Heat,Milwaukee Bucks
68,79,Seattle SuperSonics,New Jersey Nets
84,95,Phoenix Suns,New Orleans Hornets
107,92,Utah Jazz,Orlando Magic
82,101,Memphis Grizzlies,Portland Trail Blazers
110,105,Boston Celtics,Washington Wizards
89,106,Cleveland Cavaliers,Charlotte Bobcats
92,93,New York Knicks,Houston Rockets
80,88,San Antonio Spurs,Philadelphia 76ers
84,92,San Antonio Spurs,Boston Celtics
103,101,New York Knicks,Dallas Mavericks
99,81,Chicago Bulls,Denver Nuggets
82,97,Indiana Pacers,Detroit Pistons
107,105,Utah Jazz,Miami Heat
107,102,Los Angeles Lakers,Phoenix Suns
110,98,Milwaukee Bucks,Portland Trail Blazers
107,105,Memphis Grizzlies,Sacramento Kings
94,101,Seattle SuperSonics,Toronto Raptors
79,92,Utah Jazz,Atlanta Hawks
100,84,Charlotte Bobcats,Cleveland Cavaliers
87,100,Memphis Grizzlies,Golden State Warriors
83,86,Orlando Magic,Indiana Pacers
86,91,Houston Rockets,Los Angeles Clippers
86,97,Washington Wizards,New Jersey Nets
94,99,Minnesota Timberwolves,New Orleans Hornets
102,83,Seattle SuperSonics,Boston Celtics
110,82,Dallas Mavericks,Denver Nuggets
117,116,Charlotte Bobcats,Detroit Pistons
111,122,Phoenix Suns,Los Angeles Clippers
102,93,Chicago Bulls,Los Angeles Lakers
93,83,Philadelphia 76ers,Miami Heat
98,88,Cleveland Cavaliers,New York Knicks
93,97,Houston Rockets,Portland Trail Blazers
88,79,Milwaukee Bucks,Sacramento Kings
96,91,San Antonio Spurs,Toronto Raptors
82,83,Minnesota Timberwolves,Dallas Mavericks
93,90,San Antonio Spurs,Memphis Grizzlies
100,82,Chicago Bulls,Phoenix Suns
75,76,New Orleans Hornets,Utah Jazz
91,89,Detroit Pistons,Charlotte Bobcats
90,88,New Jersey Nets,Denver Nuggets
115,109,New Orleans Hornets,Golden State Warriors
106,96,Boston Celtics,Indiana Pacers
100,96,Milwaukee Bucks,Los Angeles Lakers
87,99,Portland Trail Blazers,Miami Heat
92,103,Seattle SuperSonics,Minnesota Timberwolves
104,88,Atlanta Hawks,New York Knicks
102,96,Houston Rockets,Sacramento Kings
102,86,Toronto Raptors,Washington Wizards
93,99,Miami Heat,Atlanta Hawks
92,76,Detroit Pistons,Cleveland Cavaliers
84,93,Seattle SuperSonics,Memphis Grizzlies
83,89,Portland Trail Blazers,Orlando Magic
110,97,Boston Celtics,Philadelphia 76ers
111,104,Milwaukee Bucks,Phoenix Suns
94,80,Dallas Mavericks,San Antonio Spurs
114,91,New York Knicks,Toronto Raptors
99,101,Chicago Bulls,Utah Jazz
106,102,Minnesota Timberwolves,Indiana Pacers
101,88,New Jersey Nets,Los Angeles Clippers
99,117,Orlando Magic,Atlanta Hawks
96,98,Cleveland Cavaliers,Boston Celtics
92,83,Portland Trail Blazers,Dallas Mavericks
75,89,San Antonio Spurs,Denver Nuggets
78,77,Miami Heat,Detroit Pistons
87,98,Los Angeles Clippers,Golden State Warriors
82,77,Charlotte Bobcats,Indiana Pacers
106,109,Sacramento Kings,Los Angeles Lakers
115,90,Memphis Grizzlies,Minnesota Timberwolves
116,114,Washington Wizards,Philadelphia 76ers
95,86,New Orleans Hornets,Phoenix Suns
92,79,New Jersey Nets,Seattle SuperSonics
90,80,Houston Rockets,Utah Jazz
107,92,Atlanta Hawks,Charlotte Bobcats
96,74,Chicago Bulls,Cleveland Cavaliers
76,82,Denver Nuggets,Houston Rockets
85,98,Dallas Mavericks,Memphis Grizzlies
96,90,Detroit Pistons,Milwaukee Bucks
108,102,Toronto Raptors,New York Knicks
105,99,Philadelphia 76ers,Orlando Magic
109,76,Utah Jazz,San Antonio Spurs
103,91,Golden State Warriors,Los Angeles Clippers
89,76,New Orleans Hornets,Los Angeles Lakers
106,104,Boston Celtics,Miami Heat
83,71,New Jersey Nets,Portland Trail Blazers
110,121,Minnesota Timberwolves,Sacramento Kings
103,95,Indiana Pacers,Seattle SuperSonics
109,114,Washington Wizards,Toronto Raptors
76,67,New Orleans Hornets,Denver Nuggets
94,82,Cleveland Cavaliers,Los Angeles Clippers
101,117,Boston Celtics,Orlando Magic
109,110,New York Knicks,Atlanta Hawks
89,107,San Antonio Spurs,Dallas Mavericks
72,93,Detroit Pistons,Houston Rockets
93,98,Sacramento Kings,Memphis Grizzlies
92,94,Toronto Raptors,Miami Heat
90,95,Los Angeles Lakers,Milwaukee Bucks
99,86,Charlotte Bobcats,New Jersey Nets
100,94,Seattle SuperSonics,Portland Trail Blazers
102,115,Phoenix Suns,Utah Jazz
101,100,Milwaukee Bucks,Boston Celtics
92,84,Los Angeles Lakers,Chicago Bulls
99,107,Minnesota Timberwolves,Golden State Warriors
88,76,Indiana Pacers,Los Angeles Clippers
81,94,Sacramento Kings,New Orleans Hornets
90,82,Memphis Grizzlies,New York Knicks
129,108,Toronto Raptors,Orlando Magic
120,101,Cleveland Cavaliers,Phoenix Suns
105,72,Philadelphia 76ers,San Antonio Spurs
129,119,Utah Jazz,Seattle SuperSonics
95,68,New Jersey Nets,Washington Wizards
113,106,Houston Rockets,Dallas Mavericks
73,92,Cleveland Cavaliers,Denver Nuggets
90,114,Washington Wizards,Atlanta Hawks
91,89,Toronto Raptors,Boston Celtics
81,105,Miami Heat,Chicago Bulls
97,88,Golden State Warriors,Los Angeles Lakers
94,86,Philadelphia 76ers,Memphis Grizzlies
98,104,Orlando Magic,New York Knicks
93,97,Minnesota Timberwolves,Phoenix Suns
113,87,Indiana Pacers,Sacramento Kings
80,77,Detroit Pistons,San Antonio Spurs
107,101,New York Knicks,Charlotte Bobcats
105,97,Toronto Raptors,Cleveland Cavaliers
