team2Score,team1Score,team1,team2
92,94,Indiana Pacers,Atlanta Hawks
107,120,New York Knicks,Boston Celtics
89,83,Charlotte Hornets,Chicago Bulls
130,108,Minnesota Timberwolves,Denver Nuggets
98,115,Los Angeles Lakers,Detroit Pistons
90,86,New Jersey Nets,Houston Rockets
100,121,Portland Trail Blazers,Los Angeles Clippers
86,91,Milwaukee Bucks,Philadelphia 76ers
107,89,Phoenix Suns,Sacramento Kings
118,123,Golden State Warriors,San Antonio Spurs
119,108,Miami Heat,Utah Jazz
110,108,Orlando Magic,Washington Bullets
109,114,Detroit Pistons,Atlanta Hawks
107,115,Cleveland Cavaliers,Charlotte Hornets
99,100,Washington Bullets,Chicago Bulls
112,103,New Jersey Nets,Dallas Mavericks
104,108,Golden State Warriors,Denver Nuggets
112,103,Boston Celtics,Indiana Pacers
97,96,Los Angeles Lakers,Milwaukee Bucks
85,115,Houston Rockets,Minnesota Timberwolves
122,107,Philadelphia 76ers,Orlando Magic
112,95,Los Angeles Clippers,Portland Trail Blazers
110,103,Utah Jazz,Seattle SuperSonics
119,107,Miami Heat,Phoenix Suns
98,83,Philadelphia 76ers,Chicago Bulls
105,96,New Jersey Nets,San Antonio Spurs
104,86,Atlanta Hawks,Utah Jazz
98,100,Houston Rockets,Cleveland Cavaliers
107,115,Denver Nuggets,Dallas Mavericks
126,112,Minnesota Timberwolves,Detroit Pistons
121,114,Miami Heat,Golden State Warriors
117,113,Los Angeles Lakers,New York Knicks
128,130,Orlando Magic,Charlotte Hornets
104,109,Houston Rockets,Indiana Pacers
99,122,Los Angeles Lakers,Minnesota Timberwolves
110,109,Chicago Bulls,New Jersey Nets
98,97,Washington Bullets,Philadelphia 76ers
106,102,Atlanta Hawks,Phoenix Suns
109,101,Utah Jazz,San Antonio Spurs
100,108,Sacramento Kings,Seattle SuperSonics
108,88,Milwaukee Bucks,Cleveland Cavaliers
112,110,Indiana Pacers,Detroit Pistons
91,108,Atlanta Hawks,Los Angeles Clippers
101,99,Orlando Magic,New York Knicks
84,104,Portland Trail Blazers,Sacramento Kings
82,102,Houston Rockets,Boston Celtics
117,124,Denver Nuggets,Los Angeles Lakers
115,123,Charlotte Hornets,Milwaukee Bucks
100,112,Chicago Bulls,Minnesota Timberwolves
100,107,Dallas Mavericks,Philadelphia 76ers
129,123,Phoenix Suns,Seattle SuperSonics
104,112,Golden State Warriors,Utah Jazz
104,91,New Jersey Nets,Washington Bullets
113,100,Detroit Pistons,Charlotte Hornets
120,124,Dallas Mavericks,Chicago Bulls
86,93,Indiana Pacers,Cleveland Cavaliers
119,110,Utah Jazz,Denver Nuggets
121,99,Los Angeles Lakers,Golden State Warriors
101,108,Phoenix Suns,Los Angeles Clippers
99,109,Washington Bullets,Miami Heat
101,114,Boston Celtics,Minnesota Timberwolves
84,100,Houston Rockets,New Jersey Nets
103,116,Orlando Magic,Philadelphia 76ers
105,97,Atlanta Hawks,Sacramento Kings
101,82,New York Knicks,San Antonio Spurs
115,90,Los Angeles Clippers,Seattle SuperSonics
110,97,New York Knicks,Utah Jazz
110,94,Boston Celtics,Atlanta Hawks
89,86,Charlotte Hornets,Cleveland Cavaliers
112,99,San Antonio Spurs,Denver Nuggets
99,98,Philadelphia 76ers,Detroit Pistons
112,114,Minnesota Timberwolves,Golden State Warriors
105,99,Sacramento Kings,Houston Rockets
92,102,Los Angeles Lakers,Los Angeles Clippers
115,102,Dallas Mavericks,Miami Heat
82,81,Indiana Pacers,Milwaukee Bucks
112,106,Seattle SuperSonics,New Jersey Nets
122,102,Washington Bullets,Orlando Magic
93,96,Phoenix Suns,Portland Trail Blazers
120,93,Seattle SuperSonics,Boston Celtics
89,110,New York Knicks,Los Angeles Lakers
109,96,Miami Heat,Philadelphia 76ers
105,90,Minnesota Timberwolves,Phoenix Suns
92,94,Chicago Bulls,San Antonio Spurs
99,83,Los Angeles Clippers,Charlotte Hornets
96,94,Sacramento Kings,Dallas Mavericks
92,94,Detroit Pistons,Denver Nuggets
109,100,New York Knicks,Golden State Warriors
106,83,Chicago Bulls,Houston Rockets
111,103,Washington Bullets,New Jersey Nets
80,81,Cleveland Cavaliers,Portland Trail Blazers
93,97,Milwaukee Bucks,Atlanta Hawks
94,87,Seattle SuperSonics,Indiana Pacers
82,80,Cleveland Cavaliers,Los Angeles Lakers
111,115,Boston Celtics,Miami Heat
113,103,New Jersey Nets,Orlando Magic
97,83,Los Angeles Clippers,Philadelphia 76ers
124,111,Portland Trail Blazers,Phoenix Suns
121,96,Detroit Pistons,Utah Jazz
89,102,Indiana Pacers,Charlotte Hornets
85,111,Chicago Bulls,Dallas Mavericks
101,109,Houston Rockets,Denver Nuggets
119,115,Utah Jazz,Golden State Warriors
96,120,Seattle SuperSonics,Milwaukee Bucks
101,109,San Antonio Spurs,Minnesota Timberwolves
92,79,Atlanta Hawks,New York Knicks
102,103,Boston Celtics,Washington Bullets
98,97,Los Angeles Clippers,New Jersey Nets
98,96,Detroit Pistons,Portland Trail Blazers
96,88,Cleveland Cavaliers,Sacramento Kings
92,88,San Antonio Spurs,New York Knicks
124,89,Miami Heat,Orlando Magic
106,91,Phoenix Suns,Utah Jazz
102,99,Philadelphia 76ers,Atlanta Hawks
94,116,Milwaukee Bucks,Boston Celtics
102,98,Golden State Warriors,Charlotte Hornets
112,79,Minnesota Timberwolves,Cleveland Cavaliers
94,102,Portland Trail Blazers,Houston Rockets
93,105,Chicago Bulls,Los Angeles Clippers
104,97,New Jersey Nets,Seattle SuperSonics
98,91,Charlotte Hornets,Boston Celtics
113,111,Chicago Bulls,Denver Nuggets
113,108,Milwaukee Bucks,Detroit Pistons
118,106,Dallas Mavericks,Los Angeles Lakers
100,87,Cleveland Cavaliers,Miami Heat
77,89,Atlanta Hawks,Minnesota Timberwolves
117,94,Houston Rockets,Orlando Magic
140,109,Los Angeles Clippers,Phoenix Suns
98,103,New Jersey Nets,Sacramento Kings
110,105,Portland Trail Blazers,San Antonio Spurs
113,103,Seattle SuperSonics,Utah Jazz
123,96,Golden State Warriors,Indiana Pacers
87,92,Los Angeles Lakers,Atlanta Hawks
118,124,Orlando Magic,Boston Celtics
101,91,Portland Trail Blazers,Dallas Mavericks
97,111,Miami Heat,Detroit Pistons
111,106,Milwaukee Bucks,Indiana Pacers
102,107,New Jersey Nets,Los Angeles Clippers
71,109,Philadelphia 76ers,Minnesota Timberwolves
108,105,Denver Nuggets,Sacramento Kings
94,114,Seattle SuperSonics,San Antonio Spurs
124,94,Chicago Bulls,Utah Jazz
94,96,Cleveland Cavaliers,Washington Bullets
101,87,Golden State Warriors,Cleveland Cavaliers
123,124,Dallas Mavericks,Denver Nuggets
94,98,Seattle SuperSonics,Houston Rockets
105,113,Orlando Magic,Milwaukee Bucks
95,105,Charlotte Hornets,New York Knicks
99,108,Boston Celtics,Philadelphia 76ers
111,108,San Antonio Spurs,Phoenix Suns
96,112,Los Angeles Lakers,Washington Bullets
106,91,Golden State Warriors,Detroit Pistons
115,110,New Jersey Nets,Phoenix Suns
99,89,Indiana Pacers,Portland Trail Blazers
89,94,Utah Jazz,Sacramento Kings
92,88,Minnesota Timberwolves,San Antonio Spurs
118,99,Indiana Pacers,Seattle SuperSonics
85,90,Charlotte Hornets,Atlanta Hawks
84,83,Minnesota Timberwolves,Dallas Mavericks
127,124,Los Angeles Clippers,Golden State Warriors
