team2Score,team1Score,team1,team2
103,126,Indiana Pacers,Atlanta Hawks
127,114,Milwaukee Bucks,Boston Celtics
96,116,Washington Bullets,Charlotte Hornets
124,119,Cleveland Cavaliers,Chicago Bulls
94,102,Los Angeles Lakers,Dallas Mavericks
106,103,New York Knicks,Detroit Pistons
102,88,Houston Rockets,Los Angeles Clippers
90,110,New Jersey Nets,Miami Heat
136,106,Golden State Warriors,Phoenix Suns
114,96,Sacramento Kings,Portland Trail Blazers
106,94,Minnesota Timberwolves,Seattle SuperSonics
122,113,Denver Nuggets,Utah Jazz
100,102,Boston Celtics,Chicago Bulls
135,132,Phoenix Suns,Denver Nuggets
105,132,Houston Rockets,Golden State Warriors
106,98,Cleveland Cavaliers,Indiana Pacers
119,99,Miami Heat,New York Knicks
106,111,New Jersey Nets,Orlando Magic
96,102,Milwaukee Bucks,Philadelphia 76ers
107,100,Seattle SuperSonics,Sacramento Kings
106,98,Los Angeles Lakers,San Antonio Spurs
93,95,Detroit Pistons,Washington Bullets
93,83,Minnesota Timberwolves,Portland Trail Blazers
118,110,New York Knicks,Orlando Magic
114,118,Washington Bullets,Atlanta Hawks
117,114,Detroit Pistons,Chicago Bulls
118,94,Los Angeles Clippers,Golden State Warriors
109,86,Portland Trail Blazers,Houston Rockets
111,107,Phoenix Suns,Los Angeles Lakers
106,100,Boston Celtics,Milwaukee Bucks
77,83,Miami Heat,New Jersey Nets
96,94,Dallas Mavericks,Sacramento Kings
128,88,Charlotte Hornets,Seattle SuperSonics
110,117,Orlando Magic,Cleveland Cavaliers
102,84,Sacramento Kings,Denver Nuggets
95,74,Detroit Pistons,Indiana Pacers
99,123,Dallas Mavericks,Los Angeles Clippers
84,96,Chicago Bulls,Minnesota Timberwolves
115,91,Miami Heat,Philadelphia 76ers
104,108,Portland Trail Blazers,San Antonio Spurs
102,86,Charlotte Hornets,Utah Jazz
112,103,Boston Celtics,Washington Bullets
95,106,Los Angeles Lakers,Golden State Warriors
127,128,Denver Nuggets,Houston Rockets
