team2Score,team1Score,team1,team2
116,110,Indiana Pacers,Atlanta Hawks
108,111,New York Knicks,Boston Celtics
123,124,Chicago Bulls,Charlotte Hornets
91,94,Milwaukee Bucks,Cleveland Cavaliers
104,99,Minnesota Timberwolves,Detroit Pistons
110,88,New Jersey Nets,Houston Rockets
97,95,Portland Trail Blazers,Los Angeles Clippers
116,108,Phoenix Suns,Los Angeles Lakers
96,116,Orlando Magic,Miami Heat
94,82,Washington Bullets,Philadelphia 76ers
109,100,Denver Nuggets,Sacramento Kings
91,85,Golden State Warriors,San Antonio Spurs
102,86,Dallas Mavericks,Utah Jazz
71,95,Miami Heat,Chicago Bulls
89,93,Golden State Warriors,Dallas Mavericks
107,113,Detroit Pistons,Indiana Pacers
103,120,Charlotte Hornets,Milwaukee Bucks
95,105,Utah Jazz,Minnesota Timberwolves
114,89,Philadelphia 76ers,Orlando Magic
129,101,Los Angeles Lakers,Seattle SuperSonics
88,100,Boston Celtics,Washington Bullets
107,115,New York Knicks,Cleveland Cavaliers
99,97,Los Angeles Clippers,Denver Nuggets
132,110,Sacramento Kings,Phoenix Suns
92,106,Houston Rockets,Portland Trail Blazers
73,99,New Jersey Nets,San Antonio Spurs
108,100,Milwaukee Bucks,Boston Celtics
106,80,Atlanta Hawks,Chicago Bulls
100,101,Seattle SuperSonics,Utah Jazz
113,108,Charlotte Hornets,Cleveland Cavaliers
80,86,New Jersey Nets,Dallas Mavericks
112,118,Washington Bullets,Detroit Pistons
93,102,Houston Rockets,Golden State Warriors
99,114,Phoenix Suns,Los Angeles Clippers
102,109,Portland Trail Blazers,Los Angeles Lakers
95,86,Philadelphia 76ers,New York Knicks
104,98,Indiana Pacers,Orlando Magic
110,95,Minnesota Timberwolves,San Antonio Spurs
118,86,Denver Nuggets,Seattle SuperSonics
90,91,Chicago Bulls,Milwaukee Bucks
89,91,Boston Celtics,Philadelphia 76ers
101,93,San Antonio Spurs,Phoenix Suns
112,101,Los Angeles Lakers,Sacramento Kings
91,88,Atlanta Hawks,Utah Jazz
84,92,New York Knicks,Washington Bullets
120,87,Orlando Magic,Charlotte Hornets
