team2Score,team1Score,team1,team2
124,100,Washington Bullets,Boston Celtics
134,121,Golden State Warriors,Denver Nuggets
118,113,Milwaukee Bucks,Detroit Pistons
96,94,Chicago Bulls,Indiana Pacers
102,113,San Antonio Spurs,Kansas City Kings
112,113,Houston Rockets,Los Angeles Lakers
99,103,New York Knicks,New Jersey Nets
128,104,Cleveland Cavaliers,Philadelphia 76ers
103,95,Phoenix Suns,Portland Trail Blazers
105,89,Dallas Mavericks,Utah Jazz
106,108,Philadelphia 76ers,Atlanta Hawks
106,119,Detroit Pistons,Chicago Bulls
95,89,Kansas City Kings,Dallas Mavericks
106,91,Utah Jazz,Golden State Warriors
119,103,Boston Celtics,Milwaukee Bucks
99,106,Indiana Pacers,New York Knicks
145,120,Denver Nuggets,San Antonio Spurs
125,110,Houston Rockets,San Diego Clippers
94,84,Phoenix Suns,Seattle SuperSonics
104,94,Seattle SuperSonics,Portland Trail Blazers
104,96,Atlanta Hawks,Chicago Bulls
110,125,Cleveland Cavaliers,Dallas Mavericks
101,98,New York Knicks,Houston Rockets
111,88,San Antonio Spurs,Phoenix Suns
102,100,Los Angeles Lakers,Portland Trail Blazers
99,112,Philadelphia 76ers,Washington Bullets
115,93,Chicago Bulls,Boston Celtics
112,100,Houston Rockets,Denver Nuggets
108,109,Portland Trail Blazers,Golden State Warriors
129,128,San Diego Clippers,Kansas City Kings
86,95,Atlanta Hawks,New Jersey Nets
107,99,Indiana Pacers,Philadelphia 76ers
128,102,Cleveland Cavaliers,San Antonio Spurs
103,106,Los Angeles Lakers,Seattle SuperSonics
109,103,New Jersey Nets,Detroit Pistons
98,90,Washington Bullets,Milwaukee Bucks
121,93,Dallas Mavericks,Phoenix Suns
110,101,Golden State Warriors,Utah Jazz
111,94,Indiana Pacers,Boston Celtics
114,93,San Diego Clippers,Chicago Bulls
95,104,New York Knicks,Dallas Mavericks
90,86,Houston Rockets,Kansas City Kings
99,101,Phoenix Suns,Los Angeles Lakers
99,106,Atlanta Hawks,Philadelphia 76ers
119,109,Utah Jazz,Portland Trail Blazers
105,109,Denver Nuggets,Seattle SuperSonics
86,82,Detroit Pistons,Washington Bullets
118,105,New Jersey Nets,Chicago Bulls
88,129,Boston Celtics,Detroit Pistons
152,107,Denver Nuggets,Golden State Warriors
92,96,Cleveland Cavaliers,Houston Rockets
105,102,San Diego Clippers,Milwaukee Bucks
103,96,New York Knicks,San Antonio Spurs
95,87,Phoenix Suns,Utah Jazz
121,111,Dallas Mavericks,Los Angeles Lakers
89,86,Indiana Pacers,New Jersey Nets
120,116,Denver Nuggets,Portland Trail Blazers
102,101,Chicago Bulls,Cleveland Cavaliers
94,83,Milwaukee Bucks,Atlanta Hawks
119,107,Kansas City Kings,Chicago Bulls
106,109,Phoenix Suns,Denver Nuggets
93,95,Philadelphia 76ers,Detroit Pistons
113,123,Seattle SuperSonics,Golden State Warriors
109,102,Cleveland Cavaliers,Indiana Pacers
111,99,New Jersey Nets,New York Knicks
117,95,Dallas Mavericks,Portland Trail Blazers
128,102,Los Angeles Lakers,San Antonio Spurs
97,106,Utah Jazz,San Diego Clippers
84,90,Boston Celtics,Washington Bullets
115,100,Kansas City Kings,Boston Celtics
93,95,Los Angeles Lakers,Houston Rockets
88,100,Milwaukee Bucks,New Jersey Nets
117,90,Chicago Bulls,Philadelphia 76ers
107,79,Dallas Mavericks,Seattle SuperSonics
87,95,Washington Bullets,Atlanta Hawks
130,99,Cleveland Cavaliers,Detroit Pistons
95,93,Indiana Pacers,Phoenix Suns
122,115,Portland Trail Blazers,San Diego Clippers
111,97,New Jersey Nets,Boston Celtics
100,102,Golden State Warriors,Houston Rockets
119,115,Portland Trail Blazers,Los Angeles Lakers
95,85,New York Knicks,Milwaukee Bucks
105,85,Kansas City Kings,Philadelphia 76ers
112,119,San Antonio Spurs,Seattle SuperSonics
131,124,Denver Nuggets,Utah Jazz
104,117,Detroit Pistons,Atlanta Hawks
91,92,Boston Celtics,Cleveland Cavaliers
112,118,Golden State Warriors,Dallas Mavericks
109,105,Utah Jazz,Houston Rockets
103,92,Kansas City Kings,New Jersey Nets
102,109,Philadelphia 76ers,New York Knicks
97,98,Los Angeles Lakers,Phoenix Suns
114,123,Indiana Pacers,San Diego Clippers
104,99,Chicago Bulls,Washington Bullets
124,123,Indiana Pacers,Los Angeles Lakers
