team2Score,team1Score,team1,team2
82,87,San Antonio Spurs,Los Angeles Lakers
95,88,Philadelphia 76ers,Orlando Magic
94,67,Cleveland Cavaliers,Sacramento Kings
96,99,Chicago Bulls,Boston Celtics
86,77,New York Knicks,Detroit Pistons
106,98,San Antonio Spurs,Golden State Warriors
91,82,Houston Rockets,Indiana Pacers
96,98,Cleveland Cavaliers,Los Angeles Clippers
108,119,Dallas Mavericks,Memphis Grizzlies
86,100,Orlando Magic,Miami Heat
83,77,Denver Nuggets,Minnesota Timberwolves
105,94,Atlanta Hawks,New Jersey Nets
100,75,Utah Jazz,New Orleans Hornets
95,93,Milwaukee Bucks,Philadelphia 76ers
102,90,Los Angeles Lakers,Portland Trail Blazers
86,73,Phoenix Suns,Seattle SuperSonics
74,68,Washington Wizards,Toronto Raptors
105,98,Utah Jazz,Atlanta Hawks
100,72,Portland Trail Blazers,Sacramento Kings
114,69,Boston Celtics,Washington Wizards
84,79,New Orleans Hornets,Chicago Bulls
74,83,Houston Rockets,Denver Nuggets
109,86,Memphis Grizzlies,Detroit Pistons
93,106,Seattle SuperSonics,Golden State Warriors
93,108,Los Angeles Lakers,Los Angeles Clippers
111,105,Orlando Magic,Minnesota Timberwolves
102,91,Indiana Pacers,New Jersey Nets
98,86,New York Knicks,Philadelphia 76ers
78,74,Cleveland Cavaliers,Phoenix Suns
91,72,Toronto Raptors,San Antonio Spurs
98,92,Chicago Bulls,Atlanta Hawks
97,83,Phoenix Suns,Dallas Mavericks
88,76,Toronto Raptors,Houston Rockets
87,80,Minnesota Timberwolves,Indiana Pacers
99,116,Sacramento Kings,Memphis Grizzlies
90,100,Orlando Magic,Milwaukee Bucks
100,95,Miami Heat,New Orleans Hornets
107,117,Boston Celtics,New York Knicks
79,96,Denver Nuggets,Portland Trail Blazers
101,92,Golden State Warriors,Utah Jazz
79,87,New Jersey Nets,Washington Wizards
74,72,Detroit Pistons,Los Angeles Clippers
98,95,Portland Trail Blazers,Los Angeles Lakers
88,78,Sacramento Kings,Miami Heat
91,77,Utah Jazz,Seattle SuperSonics
107,100,Golden State Warriors,Dallas Mavericks
101,103,San Antonio Spurs,Memphis Grizzlies
106,82,Minnesota Timberwolves,New Jersey Nets
88,97,Milwaukee Bucks,New York Knicks
82,84,Detroit Pistons,Phoenix Suns
109,105,Chicago Bulls,Toronto Raptors
89,70,Los Angeles Lakers,Cleveland Cavaliers
87,103,Atlanta Hawks,Denver Nuggets
97,104,Seattle SuperSonics,Houston Rockets
79,83,Indiana Pacers,Miami Heat
90,86,Washington Wizards,Minnesota Timberwolves
125,121,Sacramento Kings,Orlando Magic
93,73,Golden State Warriors,San Antonio Spurs
69,91,Boston Celtics,Chicago Bulls
99,93,New Jersey Nets,Milwaukee Bucks
86,84,Seattle SuperSonics,New Orleans Hornets
95,88,Sacramento Kings,New York Knicks
101,99,Los Angeles Clippers,Philadelphia 76ers
93,88,Atlanta Hawks,Phoenix Suns
94,88,Memphis Grizzlies,Portland Trail Blazers
92,106,Dallas Mavericks,Toronto Raptors
78,80,Detroit Pistons,Utah Jazz
107,100,Cleveland Cavaliers,Washington Wizards
98,95,Los Angeles Lakers,Boston Celtics
63,89,Detroit Pistons,Denver Nuggets
114,110,Milwaukee Bucks,Minnesota Timberwolves
87,114,Dallas Mavericks,Chicago Bulls
107,94,New York Knicks,Indiana Pacers
106,92,Los Angeles Clippers,New Jersey Nets
110,104,Golden State Warriors,New Orleans Hornets
105,98,Seattle SuperSonics,Orlando Magic
108,84,Cleveland Cavaliers,Philadelphia 76ers
86,75,Portland Trail Blazers,Phoenix Suns
99,91,Memphis Grizzlies,Sacramento Kings
110,97,Atlanta Hawks,Utah Jazz
100,99,Los Angeles Lakers,Washington Wizards
100,93,New Jersey Nets,Chicago Bulls
79,93,Washington Wizards,Cleveland Cavaliers
114,75,Detroit Pistons,Dallas Mavericks
84,73,Memphis Grizzlies,Denver Nuggets
111,104,Golden State Warriors,Houston Rockets
108,84,Toronto Raptors,Indiana Pacers
82,84,Seattle SuperSonics,Miami Heat
110,105,Philadelphia 76ers,Milwaukee Bucks
99,105,Boston Celtics,Minnesota Timberwolves
76,95,Portland Trail Blazers,San Antonio Spurs
91,97,New Orleans Hornets,New York Knicks
117,120,Los Angeles Clippers,Orlando Magic
105,97,Atlanta Hawks,Sacramento Kings
112,95,Utah Jazz,Boston Celtics
82,73,Portland Trail Blazers,Dallas Mavericks
101,108,Golden State Warriors,Memphis Grizzlies
91,75,Minnesota Timberwolves,San Antonio Spurs
93,87,New Orleans Hornets,Detroit Pistons
86,83,Portland Trail Blazers,Houston Rockets
95,75,Cleveland Cavaliers,Indiana Pacers
83,95,Atlanta Hawks,Los Angeles Lakers
82,101,Los Angeles Clippers,Miami Heat
87,108,Utah Jazz,New York Knicks
109,115,Toronto Raptors,Orlando Magic
95,101,Seattle SuperSonics,Washington Wizards
91,81,Philadelphia 76ers,Boston Celtics
99,103,Dallas Mavericks,Cleveland Cavaliers
72,75,Phoenix Suns,Denver Nuggets
93,104,Sacramento Kings,Golden State Warriors
108,101,Chicago Bulls,Milwaukee Bucks
91,82,San Antonio Spurs,New Jersey Nets
102,98,Minnesota Timberwolves,New Orleans Hornets
80,101,Orlando Magic,Los Angeles Clippers
99,94,San Antonio Spurs,Philadelphia 76ers
105,102,Utah Jazz,Washington Wizards
86,97,Dallas Mavericks,Boston Celtics
86,75,Utah Jazz,Detroit Pistons
103,100,Milwaukee Bucks,Indiana Pacers
96,89,Golden State Warriors,Los Angeles Lakers
95,99,Minnesota Timberwolves,Memphis Grizzlies
84,93,New Jersey Nets,Miami Heat
105,87,Chicago Bulls,New Orleans Hornets
88,87,Houston Rockets,Phoenix Suns
112,88,Los Angeles Clippers,Portland Trail Blazers
111,97,Sacramento Kings,Seattle SuperSonics
84,79,Denver Nuggets,Toronto Raptors
89,82,New Orleans Hornets,Atlanta Hawks
111,93,Memphis Grizzlies,Chicago Bulls
77,90,San Antonio Spurs,Cleveland Cavaliers
74,53,Denver Nuggets,Detroit Pistons
135,92,Orlando Magic,Golden State Warriors
104,85,Boston Celtics,Milwaukee Bucks
101,107,Indiana Pacers,Minnesota Timberwolves
88,96,Dallas Mavericks,New Jersey Nets
92,93,Philadelphia 76ers,New York Knicks
95,65,Miami Heat,Washington Wizards
78,84,Seattle SuperSonics,Los Angeles Clippers
89,93,Houston Rockets,Los Angeles Lakers
100,84,Washington Wizards,Philadelphia 76ers
101,99,Orlando Magic,Sacramento Kings
78,82,Utah Jazz,Toronto Raptors
117,92,Toronto Raptors,Atlanta Hawks
89,99,Los Angeles Clippers,Golden State Warriors
99,79,Denver Nuggets,New Jersey Nets
94,91,Detroit Pistons,New York Knicks
104,78,Cleveland Cavaliers,San Antonio Spurs
98,72,Los Angeles Lakers,Dallas Mavericks
97,80,Cleveland Cavaliers,Houston Rockets
93,97,Miami Heat,Milwaukee Bucks
110,106,Memphis Grizzlies,Minnesota Timberwolves
99,98,Philadelphia 76ers,New Orleans Hornets
111,98,Chicago Bulls,Sacramento Kings
84,101,Orlando Magic,Seattle SuperSonics
99,76,Phoenix Suns,Utah Jazz
93,103,Minnesota Timberwolves,Atlanta Hawks
96,79,New Jersey Nets,Boston Celtics
79,96,Utah Jazz,Denver Nuggets
79,68,Miami Heat,Detroit Pistons
100,94,Chicago Bulls,Golden State Warriors
89,93,Sacramento Kings,Los Angeles Clippers
88,95,Philadelphia 76ers,Memphis Grizzlies
98,84,Orlando Magic,Portland Trail Blazers
95,88,Los Angeles Lakers,San Antonio Spurs
95,97,Indiana Pacers,Toronto Raptors
103,90,Houston Rockets,Dallas Mavericks
85,89,Portland Trail Blazers,Seattle SuperSonics
105,98,Atlanta Hawks,Boston Celtics
72,70,Los Angeles Clippers,Denver Nuggets
91,95,Milwaukee Bucks,Golden State Warriors
93,86,Washington Wizards,Houston Rockets
106,70,Orlando Magic,Indiana Pacers
86,73,Chicago Bulls,Los Angeles Lakers
72,75,Detroit Pistons,Miami Heat
120,79,Cleveland Cavaliers,New Jersey Nets
105,97,New York Knicks,New Orleans Hornets
90,80,Toronto Raptors,Philadelphia 76ers
118,101,Phoenix Suns,Sacramento Kings
95,86,Memphis Grizzlies,San Antonio Spurs
99,109,Boston Celtics,Atlanta Hawks
84,97,New Orleans Hornets,Cleveland Cavaliers
115,105,Seattle SuperSonics,Dallas Mavericks
91,106,Detroit Pistons,Indiana Pacers
85,74,Washington Wizards,Memphis Grizzlies
82,96,New Jersey Nets,Minnesota Timberwolves
79,80,Denver Nuggets,Phoenix Suns
94,95,Sacramento Kings,Portland Trail Blazers
110,90,Chicago Bulls,Utah Jazz
90,89,Houston Rockets,Los Angeles Clippers
111,99,Milwaukee Bucks,Los Angeles Lakers
88,106,Minnesota Timberwolves,New York Knicks
77,75,Miami Heat,Orlando Magic
90,91,Seattle SuperSonics,San Antonio Spurs
84,94,Philadelphia 76ers,Toronto Raptors
108,87,New Orleans Hornets,Philadelphia 76ers
86,81,Milwaukee Bucks,Phoenix Suns
119,116,Seattle SuperSonics,Atlanta Hawks
85,91,Sacramento Kings,Cleveland Cavaliers
85,81,San Antonio Spurs,Denver Nuggets
94,99,Utah Jazz,Los Angeles Clippers
97,85,Los Angeles Lakers,Miami Heat
77,71,Houston Rockets,Portland Trail Blazers
84,88,Indiana Pacers,Washington Wizards
92,82,Chicago Bulls,Boston Celtics
82,102,Dallas Mavericks,Detroit Pistons
84,91,Houston Rockets,Golden State Warriors
117,99,Seattle SuperSonics,Memphis Grizzlies
112,80,Cleveland Cavaliers,Milwaukee Bucks
90,74,Sacramento Kings,Minnesota Timberwolves
106,94,Atlanta Hawks,New Orleans Hornets
112,102,Los Angeles Lakers,Orlando Magic
83,74,Miami Heat,Philadelphia 76ers
82,75,New Jersey Nets,Phoenix Suns
99,68,Denver Nuggets,San Antonio Spurs
81,87,New York Knicks,Toronto Raptors
110,98,Dallas Mavericks,Indiana Pacers
126,118,New Jersey Nets,Los Angeles Clippers
100,94,Miami Heat,Atlanta Hawks
95,98,Toronto Raptors,Boston Celtics
99,106,Philadelphia 76ers,Cleveland Cavaliers
82,92,Golden State Warriors,Denver Nuggets
96,91,Milwaukee Bucks,Detroit Pistons
100,84,Washington Wizards,Indiana Pacers
106,112,Los Angeles Lakers,Memphis Grizzlies
94,87,San Antonio Spurs,Phoenix Suns
107,94,Los Angeles Clippers,Sacramento Kings
72,83,Houston Rockets,Seattle SuperSonics
95,77,Minnesota Timberwolves,Utah Jazz
103,90,Chicago Bulls,Dallas Mavericks
100,90,Phoenix Suns,Golden State Warriors
85,79,Cleveland Cavaliers,Miami Heat
109,86,Detroit Pistons,Milwaukee Bucks
92,86,New Orleans Hornets,New York Knicks
117,92,Atlanta Hawks,Orlando Magic
86,93,New Jersey Nets,Portland Trail Blazers
107,85,Utah Jazz,San Antonio Spurs
94,95,Philadelphia 76ers,Washington Wizards
95,86,New Orleans Hornets,Boston Celtics
87,92,Indiana Pacers,Los Angeles Clippers
107,110,Minnesota Timberwolves,Los Angeles Lakers
87,92,Toronto Raptors,Memphis Grizzlies
103,84,Houston Rockets,Sacramento Kings
96,95,New Jersey Nets,Seattle SuperSonics
113,102,Toronto Raptors,Dallas Mavericks
125,93,Cleveland Cavaliers,New York Knicks
97,102,Boston Celtics,Orlando Magic
90,100,Miami Heat,Phoenix Suns
102,91,Indiana Pacers,Utah Jazz
90,115,New Orleans Hornets,Chicago Bulls
110,89,Denver Nuggets,Golden State Warriors
89,75,San Antonio Spurs,Houston Rockets
101,91,Memphis Grizzlies,Los Angeles Lakers
87,72,Atlanta Hawks,New Jersey Nets
98,86,Minnesota Timberwolves,Sacramento Kings
103,78,Milwaukee Bucks,Washington Wizards
111,101,Chicago Bulls,Cleveland Cavaliers
90,92,Sacramento Kings,Denver Nuggets
83,88,Washington Wizards,Detroit Pistons
89,80,Miami Heat,Los Angeles Clippers
89,74,Toronto Raptors,New Orleans Hornets
85,87,Orlando Magic,New York Knicks
99,93,Boston Celtics,Philadelphia 76ers
98,85,Memphis Grizzlies,Phoenix Suns
88,103,Dallas Mavericks,Portland Trail Blazers
111,114,Indiana Pacers,Seattle SuperSonics
93,85,Los Angeles Lakers,Utah Jazz
98,80,Milwaukee Bucks,Atlanta Hawks
98,114,Minnesota Timberwolves,Golden State Warriors
91,80,New York Knicks,Boston Celtics
105,103,Dallas Mavericks,Los Angeles Lakers
98,96,Houston Rockets,New Orleans Hornets
88,78,Washington Wizards,Orlando Magic
102,96,Indiana Pacers,Phoenix Suns
88,69,Miami Heat,Portland Trail Blazers
98,77,Denver Nuggets,Sacramento Kings
98,93,Philadelphia 76ers,San Antonio Spurs
103,89,Chicago Bulls,Toronto Raptors
104,71,Memphis Grizzlies,Utah Jazz
94,92,Detroit Pistons,Atlanta Hawks
112,104,Cleveland Cavaliers,Chicago Bulls
92,81,Indiana Pacers,Denver Nuggets
116,121,Dallas Mavericks,Golden State Warriors
97,72,Philadelphia 76ers,Houston Rockets
104,88,Minnesota Timberwolves,Los Angeles Clippers
88,94,New Orleans Hornets,Milwaukee Bucks
121,88,Orlando Magic,New Jersey Nets
100,71,Miami Heat,Seattle SuperSonics
100,97,New York Knicks,Washington Wizards
110,101,Utah Jazz,Los Angeles Lakers
102,94,Phoenix Suns,Memphis Grizzlies
80,104,Sacramento Kings,San Antonio Spurs
91,104,Portland Trail Blazers,Toronto Raptors
114,109,Orlando Magic,Boston Celtics
133,140,Milwaukee Bucks,Cleveland Cavaliers
84,92,Minnesota Timberwolves,Denver Nuggets
106,93,Phoenix Suns,New Jersey Nets
90,94,Los Angeles Clippers,New Orleans Hornets
107,87,Orlando Magic,Chicago Bulls
122,95,Los Angeles Clippers,Dallas Mavericks
106,102,Los Angeles Lakers,Golden State Warriors
103,96,Sacramento Kings,Houston Rockets
96,107,Memphis Grizzlies,Miami Heat
97,80,Seattle SuperSonics,New York Knicks
79,98,Portland Trail Blazers,Washington Wizards
94,103,Phoenix Suns,Boston Celtics
96,83,Toronto Raptors,Cleveland Cavaliers
91,80,Atlanta Hawks,Detroit Pistons
96,93,Denver Nuggets,Memphis Grizzlies
119,126,Indiana Pacers,Milwaukee Bucks
105,104,Portland Trail Blazers,New Jersey Nets
88,92,Seattle SuperSonics,Philadelphia 76ers
111,104,Dallas Mavericks,San Antonio Spurs
76,86,Detroit Pistons,Chicago Bulls
113,95,Atlanta Hawks,Minnesota Timberwolves
88,93,New Orleans Hornets,Utah Jazz
115,100,Cleveland Cavaliers,Boston Celtics
94,72,Denver Nuggets,Indiana Pacers
82,98,New Orleans Hornets,Los Angeles Lakers
114,109,Houston Rockets,Memphis Grizzlies
92,97,New York Knicks,Miami Heat
101,79,Portland Trail Blazers,Milwaukee Bucks
79,65,Washington Wizards,New Jersey Nets
111,85,Golden State Warriors,Orlando Magic
91,99,Phoenix Suns,Philadelphia 76ers
97,84,Los Angeles Clippers,San Antonio Spurs
79,91,Seattle SuperSonics,Toronto Raptors
88,102,Phoenix Suns,Atlanta Hawks
97,95,Milwaukee Bucks,Chicago Bulls
111,104,Denver Nuggets,Cleveland Cavaliers
104,87,Memphis Grizzlies,Dallas Mavericks
91,78,Seattle SuperSonics,Detroit Pistons
83,94,Los Angeles Clippers,Houston Rockets
101,92,Golden State Warriors,Miami Heat
92,98,Portland Trail Blazers,Minnesota Timberwolves
