team2Score,team1Score,team1,team2
88,80,Miami Heat,Boston Celtics
112,110,Houston Rockets,Los Angeles Lakers
106,92,Phoenix Suns,Portland Trail Blazers
95,87,Boston Celtics,Cleveland Cavaliers
101,86,Charlotte Bobcats,Dallas Mavericks
110,88,Utah Jazz,Denver Nuggets
132,128,Houston Rockets,Golden State Warriors
88,98,Portland Trail Blazers,Los Angeles Clippers
104,119,Atlanta Hawks,Memphis Grizzlies
116,117,Sacramento Kings,Minnesota Timberwolves
101,98,Detroit Pistons,New Jersey Nets
95,91,Milwaukee Bucks,New Orleans Hornets
106,95,Chicago Bulls,Oklahoma City Thunder
87,97,Miami Heat,Philadelphia 76ers
122,109,Indiana Pacers,San Antonio Spurs
93,98,New York Knicks,Toronto Raptors
112,83,Washington Wizards,Orlando Magic
94,110,Phoenix Suns,Utah Jazz
105,101,New York Knicks,Boston Celtics
101,104,Indiana Pacers,Charlotte Bobcats
90,91,Memphis Grizzlies,Dallas Mavericks
104,105,Oklahoma City Thunder,Detroit Pistons
109,91,Los Angeles Clippers,Golden State Warriors
96,70,Orlando Magic,Miami Heat
96,85,Milwaukee Bucks,Minnesota Timberwolves
106,100,Sacramento Kings,New Jersey Nets
101,95,Denver Nuggets,New Orleans Hornets
101,104,Atlanta Hawks,Philadelphia 76ers
106,114,Los Angeles Lakers,Phoenix Suns
101,81,Cleveland Cavaliers,Toronto Raptors
99,95,Washington Wizards,Atlanta Hawks
101,91,Detroit Pistons,Chicago Bulls
104,107,Sacramento Kings,Cleveland Cavaliers
94,107,Denver Nuggets,Houston Rockets
99,86,Philadelphia 76ers,Indiana Pacers
109,89,Minnesota Timberwolves,Memphis Grizzlies
98,88,Charlotte Bobcats,Milwaukee Bucks
95,100,Portland Trail Blazers,New York Knicks
90,99,New Orleans Hornets,San Antonio Spurs
83,99,Dallas Mavericks,Los Angeles Clippers
107,83,Golden State Warriors,Los Angeles Lakers
78,101,Miami Heat,New Jersey Nets
99,120,Utah Jazz,Oklahoma City Thunder
110,98,Portland Trail Blazers,Chicago Bulls
88,97,San Antonio Spurs,Los Angeles Clippers
111,108,Toronto Raptors,Sacramento Kings
88,100,Atlanta Hawks,Cleveland Cavaliers
86,109,Boston Celtics,Detroit Pistons
124,105,Memphis Grizzlies,Los Angeles Lakers
129,97,Minnesota Timberwolves,Miami Heat
76,90,Portland Trail Blazers,Milwaukee Bucks
116,115,Philadelphia 76ers,Washington Wizards
94,85,Detroit Pistons,Atlanta Hawks
105,102,Milwaukee Bucks,Boston Celtics
101,102,Dallas Mavericks,Denver Nuggets
115,109,Memphis Grizzlies,Golden State Warriors
99,107,New Orleans Hornets,Houston Rockets
107,92,Oklahoma City Thunder,Los Angeles Clippers
83,85,Charlotte Bobcats,New Jersey Nets
128,86,Minnesota Timberwolves,Orlando Magic
101,75,Indiana Pacers,Philadelphia 76ers
110,112,San Antonio Spurs,Phoenix Suns
100,112,Los Angeles Lakers,Sacramento Kings
125,108,Toronto Raptors,Utah Jazz
112,120,New York Knicks,Chicago Bulls
106,107,Oklahoma City Thunder,Portland Trail Blazers
110,105,Chicago Bulls,Boston Celtics
111,104,Los Angeles Clippers,Denver Nuggets
97,90,Charlotte Bobcats,Detroit Pistons
85,78,Utah Jazz,Golden State Warriors
90,94,Milwaukee Bucks,Indiana Pacers
108,103,Toronto Raptors,Los Angeles Lakers
103,113,Atlanta Hawks,Minnesota Timberwolves
96,93,Miami Heat,New Orleans Hornets
112,91,Washington Wizards,New York Knicks
105,90,New Jersey Nets,Orlando Magic
116,123,Cleveland Cavaliers,Philadelphia 76ers
123,118,Memphis Grizzlies,Phoenix Suns
88,91,Orlando Magic,Charlotte Bobcats
92,103,Denver Nuggets,Dallas Mavericks
101,89,New Jersey Nets,Miami Heat
81,87,New Orleans Hornets,Milwaukee Bucks
97,84,Toronto Raptors,Portland Trail Blazers
91,100,Memphis Grizzlies,Sacramento Kings
124,121,Houston Rockets,San Antonio Spurs
109,107,Los Angeles Clippers,Utah Jazz
102,107,Cleveland Cavaliers,Washington Wizards
114,118,Phoenix Suns,Atlanta Hawks
102,97,Golden State Warriors,Detroit Pistons
120,94,Minnesota Timberwolves,Houston Rockets
121,96,Portland Trail Blazers,Los Angeles Lakers
96,106,Philadelphia 76ers,New York Knicks
