team2Score,team1Score,team1,team2
103,83,Boston Celtics,Detroit Pistons
119,108,Houston Rockets,Los Angeles Lakers
88,76,Indiana Pacers,New York Knicks
119,109,Golden State Warriors,Oklahoma City Thunder
86,79,Cleveland Cavaliers,Philadelphia 76ers
102,94,Chicago Bulls,Portland Trail Blazers
90,99,Brooklyn Nets,Sacramento Kings
97,86,Orlando Magic,Toronto Raptors
81,72,Orlando Magic,Atlanta Hawks
102,98,Milwaukee Bucks,Charlotte Bobcats
101,105,Golden State Warriors,Dallas Mavericks
92,97,Denver Nuggets,Memphis Grizzlies
87,92,Los Angeles Clippers,San Antonio Spurs
102,91,Houston Rockets,Utah Jazz
89,96,Indiana Pacers,Washington Wizards
95,90,Brooklyn Nets,Los Angeles Lakers
80,102,New York Knicks,New Orleans Hornets
106,98,Toronto Raptors,Philadelphia 76ers
101,100,Washington Wizards,Atlanta Hawks
100,112,San Antonio Spurs,Boston Celtics
98,97,Toronto Raptors,Charlotte Bobcats
92,83,Philadelphia 76ers,Cleveland Cavaliers
114,111,New York Knicks,Dallas Mavericks
102,93,Brooklyn Nets,Golden State Warriors
93,89,Chicago Bulls,Houston Rockets
115,107,New Orleans Hornets,Indiana Pacers
113,106,Milwaukee Bucks,Miami Heat
94,101,Denver Nuggets,Minnesota Timberwolves
117,111,Los Angeles Clippers,Oklahoma City Thunder
90,74,Detroit Pistons,Orlando Magic
114,87,Portland Trail Blazers,Phoenix Suns
113,97,Los Angeles Lakers,Sacramento Kings
108,100,Oklahoma City Thunder,Boston Celtics
86,76,Los Angeles Clippers,Brooklyn Nets
91,101,Atlanta Hawks,Charlotte Bobcats
102,91,Golden State Warriors,Denver Nuggets
91,90,Toronto Raptors,Detroit Pistons
131,103,New York Knicks,Houston Rockets
97,104,San Antonio Spurs,Indiana Pacers
106,98,Los Angeles Lakers,Memphis Grizzlies
108,104,Cleveland Cavaliers,Orlando Magic
111,108,New Orleans Hornets,Phoenix Suns
103,95,Minnesota Timberwolves,Portland Trail Blazers
104,102,Sacramento Kings,Utah Jazz
104,93,Los Angeles Clippers,Atlanta Hawks
89,115,Los Angeles Lakers,Dallas Mavericks
96,85,Minnesota Timberwolves,Golden State Warriors
110,108,Cleveland Cavaliers,Miami Heat
86,93,Chicago Bulls,Milwaukee Bucks
109,116,Oklahoma City Thunder,Philadelphia 76ers
108,97,Utah Jazz,Sacramento Kings
106,108,Charlotte Bobcats,Washington Wizards
98,85,Portland Trail Blazers,Brooklyn Nets
102,84,New Orleans Hornets,Denver Nuggets
121,100,Detroit Pistons,New York Knicks
110,116,Boston Celtics,Orlando Magic
104,101,Phoenix Suns,Philadelphia 76ers
106,111,San Antonio Spurs,Toronto Raptors
96,89,New York Knicks,Brooklyn Nets
92,93,Milwaukee Bucks,Chicago Bulls
108,101,Portland Trail Blazers,Detroit Pistons
98,105,New Orleans Hornets,Los Angeles Clippers
84,78,Cleveland Cavaliers,Memphis Grizzlies
114,69,Charlotte Bobcats,Oklahoma City Thunder
105,103,Denver Nuggets,Utah Jazz
92,118,San Antonio Spurs,Washington Wizards
78,91,Phoenix Suns,Cleveland Cavaliers
117,101,Toronto Raptors,Houston Rockets
77,79,Indiana Pacers,Los Angeles Lakers
100,98,Dallas Mavericks,Philadelphia 76ers
89,97,Minnesota Timberwolves,Sacramento Kings
94,91,Charlotte Bobcats,Atlanta Hawks
83,95,Brooklyn Nets,Boston Celtics
101,78,Dallas Mavericks,Chicago Bulls
117,77,Phoenix Suns,Detroit Pistons
101,95,Minnesota Timberwolves,Los Angeles Clippers
103,82,Toronto Raptors,Memphis Grizzlies
88,102,New York Knicks,Milwaukee Bucks
84,96,Utah Jazz,New Orleans Hornets
