team2Score,team1Score,team1,team2
120,102,Washington Bullets,Boston Celtics
103,77,Utah Jazz,Dallas Mavericks
134,104,San Antonio Spurs,Denver Nuggets
104,120,Milwaukee Bucks,Detroit Pistons
108,97,New York Knicks,New Jersey Nets
108,104,Indiana Pacers,Philadelphia 76ers
127,123,Golden State Warriors,Phoenix Suns
110,127,Seattle SuperSonics,Portland Trail Blazers
107,106,Los Angeles Clippers,Sacramento Kings
131,111,New Jersey Nets,Atlanta Hawks
113,106,Washington Bullets,Cleveland Cavaliers
131,109,Denver Nuggets,Golden State Warriors
112,102,Los Angeles Lakers,Houston Rockets
92,89,Detroit Pistons,Indiana Pacers
117,111,Phoenix Suns,Los Angeles Clippers
111,105,Boston Celtics,Milwaukee Bucks
103,108,Chicago Bulls,New York Knicks
108,105,Dallas Mavericks,San Antonio Spurs
114,103,Sacramento Kings,Seattle SuperSonics
119,110,Portland Trail Blazers,Utah Jazz
89,94,Chicago Bulls,Cleveland Cavaliers
113,122,Atlanta Hawks,Philadelphia 76ers
104,95,New York Knicks,Golden State Warriors
107,98,Milwaukee Bucks,Atlanta Hawks
111,104,San Antonio Spurs,Chicago Bulls
118,86,Los Angeles Clippers,Dallas Mavericks
118,103,New York Knicks,Denver Nuggets
125,121,Philadelphia 76ers,Indiana Pacers
126,120,Portland Trail Blazers,Phoenix Suns
84,100,Houston Rockets,Sacramento Kings
96,110,Los Angeles Lakers,Seattle SuperSonics
102,101,New Jersey Nets,Washington Bullets
133,102,Indiana Pacers,Boston Celtics
109,85,Washington Bullets,Detroit Pistons
102,92,Portland Trail Blazers,Golden State Warriors
103,112,San Antonio Spurs,New Jersey Nets
107,101,Milwaukee Bucks,Philadelphia 76ers
111,95,Cleveland Cavaliers,Utah Jazz
135,121,Utah Jazz,Denver Nuggets
97,104,Los Angeles Clippers,Houston Rockets
95,106,New York Knicks,Sacramento Kings
124,147,Dallas Mavericks,Seattle SuperSonics
106,86,Phoenix Suns,Atlanta Hawks
115,109,Chicago Bulls,Detroit Pistons
114,115,Cleveland Cavaliers,Golden State Warriors
138,116,Denver Nuggets,Los Angeles Lakers
94,115,Milwaukee Bucks,New Jersey Nets
114,97,San Antonio Spurs,Philadelphia 76ers
120,113,Dallas Mavericks,Portland Trail Blazers
86,88,Boston Celtics,Washington Bullets
110,91,Washington Bullets,Atlanta Hawks
101,96,Phoenix Suns,Chicago Bulls
102,90,Sacramento Kings,Houston Rockets
130,97,San Antonio Spurs,Indiana Pacers
93,100,Cleveland Cavaliers,Los Angeles Clippers
103,89,Detroit Pistons,Milwaukee Bucks
105,102,New York Knicks,Seattle SuperSonics
111,88,New York Knicks,Los Angeles Lakers
119,125,Philadelphia 76ers,Portland Trail Blazers
112,110,Atlanta Hawks,Chicago Bulls
116,95,San Antonio Spurs,Houston Rockets
115,112,Denver Nuggets,Los Angeles Clippers
102,94,Indiana Pacers,Milwaukee Bucks
114,110,Boston Celtics,New Jersey Nets
111,105,Phoenix Suns,New York Knicks
126,108,Golden State Warriors,Portland Trail Blazers
119,114,Cleveland Cavaliers,Sacramento Kings
114,121,Philadelphia 76ers,Seattle SuperSonics
104,103,Dallas Mavericks,Utah Jazz
124,116,Milwaukee Bucks,Boston Celtics
114,85,Houston Rockets,Dallas Mavericks
108,110,Sacramento Kings,Denver Nuggets
108,100,Phoenix Suns,Detroit Pistons
122,97,Seattle SuperSonics,Los Angeles Lakers
101,99,Chicago Bulls,Washington Bullets
112,104,Philadelphia 76ers,Golden State Warriors
117,120,Indiana Pacers,New Jersey Nets
115,102,Cleveland Cavaliers,San Antonio Spurs
130,113,Los Angeles Clippers,Utah Jazz
98,110,Boston Celtics,Chicago Bulls
142,138,Dallas Mavericks,Denver Nuggets
100,105,Atlanta Hawks,Detroit Pistons
106,103,New York Knicks,Milwaukee Bucks
127,97,Philadelphia 76ers,Phoenix Suns
119,109,Los Angeles Clippers,Portland Trail Blazers
111,96,Cleveland Cavaliers,Dallas Mavericks
111,118,Boston Celtics,Detroit Pistons
121,127,Seattle SuperSonics,Golden State Warriors
104,103,Milwaukee Bucks,Indiana Pacers
90,109,Atlanta Hawks,New Jersey Nets
104,97,Washington Bullets,New York Knicks
109,116,Phoenix Suns,San Antonio Spurs
111,103,Denver Nuggets,Utah Jazz
134,106,Cleveland Cavaliers,Houston Rockets
90,103,Philadelphia 76ers,Los Angeles Clippers
113,111,Sacramento Kings,Los Angeles Lakers
124,103,Utah Jazz,Portland Trail Blazers
124,111,Indiana Pacers,Washington Bullets
110,114,Los Angeles Lakers,Dallas Mavericks
125,112,New Jersey Nets,Denver Nuggets
111,115,Portland Trail Blazers,Houston Rockets
93,98,Indiana Pacers,Los Angeles Clippers
111,85,Golden State Warriors,Milwaukee Bucks
119,105,Sacramento Kings,Seattle SuperSonics
111,107,Atlanta Hawks,Boston Celtics
104,112,Golden State Warriors,Cleveland Cavaliers
98,94,New York Knicks,Philadelphia 76ers
111,101,New Jersey Nets,Phoenix Suns
108,117,Los Angeles Lakers,San Antonio Spurs
119,105,Detroit Pistons,Washington Bullets
108,89,Cleveland Cavaliers,Atlanta Hawks
142,128,Portland Trail Blazers,Denver Nuggets
104,90,Utah Jazz,Houston Rockets
108,113,Dallas Mavericks,Los Angeles Clippers
92,83,Indiana Pacers,Sacramento Kings
105,116,Milwaukee Bucks,Seattle SuperSonics
135,120,Golden State Warriors,Boston Celtics
101,99,New York Knicks,Chicago Bulls
111,95,New Jersey Nets,Los Angeles Lakers
110,120,Detroit Pistons,Philadelphia 76ers
122,130,Dallas Mavericks,Phoenix Suns
127,114,San Antonio Spurs,Portland Trail Blazers
115,99,Houston Rockets,Washington Bullets
97,96,Boston Celtics,Atlanta Hawks
93,84,Washington Bullets,Chicago Bulls
132,120,Phoenix Suns,Denver Nuggets
93,84,Cleveland Cavaliers,Detroit Pistons
102,109,San Antonio Spurs,Los Angeles Clippers
93,97,Golden State Warriors,New York Knicks
99,107,Milwaukee Bucks,Sacramento Kings
121,111,Indiana Pacers,Seattle SuperSonics
96,78,New Jersey Nets,Utah Jazz
