team2Score,team1Score,team1,team2
130,103,Cleveland Cavaliers,Boston Celtics
112,113,San Antonio Spurs,Denver Nuggets
85,95,Washington Bullets,Detroit Pistons
91,110,Indiana Pacers,New Jersey Nets
103,106,Milwaukee Bucks,Philadelphia 76ers
121,101,Golden State Warriors,Phoenix Suns
120,104,Houston Rockets,San Diego Clippers
98,99,Los Angeles Lakers,Seattle SuperSonics
96,86,Portland Trail Blazers,Utah Jazz
101,93,Chicago Bulls,Atlanta Hawks
96,99,New Jersey Nets,Cleveland Cavaliers
103,92,San Antonio Spurs,Dallas Mavericks
104,91,San Diego Clippers,Golden State Warriors
100,87,Detroit Pistons,Indiana Pacers
98,91,Utah Jazz,Kansas City Kings
114,109,Milwaukee Bucks,New York Knicks
120,126,Philadelphia 76ers,Washington Bullets
121,125,Utah Jazz,Denver Nuggets
114,103,Houston Rockets,Los Angeles Lakers
109,100,Kansas City Kings,Phoenix Suns
107,96,Seattle SuperSonics,Portland Trail Blazers
108,92,Detroit Pistons,New Jersey Nets
122,116,Boston Celtics,Atlanta Hawks
99,91,Detroit Pistons,Cleveland Cavaliers
83,85,Seattle SuperSonics,Dallas Mavericks
113,93,Philadelphia 76ers,New York Knicks
109,103,Kansas City Kings,San Antonio Spurs
133,98,Dallas Mavericks,Denver Nuggets
95,92,Portland Trail Blazers,Golden State Warriors
103,100,Seattle SuperSonics,Houston Rockets
97,108,Chicago Bulls,Indiana Pacers
107,112,Los Angeles Lakers,Kansas City Kings
111,119,Philadelphia 76ers,New Jersey Nets
93,107,Phoenix Suns,Utah Jazz
90,88,Washington Bullets,Cleveland Cavaliers
99,102,San Antonio Spurs,Detroit Pistons
103,110,Boston Celtics,Milwaukee Bucks
113,101,New York Knicks,Atlanta Hawks
98,79,Cleveland Cavaliers,Chicago Bulls
91,103,Kansas City Kings,Dallas Mavericks
116,109,Phoenix Suns,Los Angeles Lakers
99,102,Houston Rockets,Portland Trail Blazers
116,129,Denver Nuggets,San Diego Clippers
