team2Score,team1Score,team1,team2
100,83,Cleveland Cavaliers,Atlanta Hawks
92,103,Toronto Raptors,Boston Celtics
66,78,Philadelphia 76ers,Charlotte Hornets
92,110,Minnesota Timberwolves,Denver Nuggets
96,81,Washington Wizards,Indiana Pacers
92,101,Phoenix Suns,Los Angeles Clippers
99,91,Houston Rockets,Los Angeles Lakers
81,95,Detroit Pistons,Miami Heat
93,85,New York Knicks,Orlando Magic
101,83,Sacramento Kings,San Antonio Spurs
92,86,Dallas Mavericks,Seattle SuperSonics
104,96,Chicago Bulls,Utah Jazz
111,106,New Jersey Nets,Atlanta Hawks
77,73,Cleveland Cavaliers,Boston Celtics
107,113,Milwaukee Bucks,Charlotte Hornets
84,86,Houston Rockets,Golden State Warriors
95,75,Orlando Magic,Philadelphia 76ers
96,82,Minnesota Timberwolves,San Antonio Spurs
98,97,Toronto Raptors,Washington Wizards
107,98,Indiana Pacers,Detroit Pistons
99,102,Dallas Mavericks,Golden State Warriors
84,89,Chicago Bulls,Los Angeles Clippers
91,100,Utah Jazz,Los Angeles Lakers
79,69,Atlanta Hawks,New Jersey Nets
79,83,Miami Heat,New York Knicks
115,108,Denver Nuggets,Phoenix Suns
109,87,Vancouver Grizzlies,Sacramento Kings
91,88,Portland Trail Blazers,Seattle SuperSonics
94,91,Miami Heat,Charlotte Hornets
89,95,Indiana Pacers,Cleveland Cavaliers
106,103,Washington Wizards,Detroit Pistons
99,80,Denver Nuggets,Houston Rockets
107,90,Boston Celtics,Orlando Magic
75,80,Los Angeles Lakers,San Antonio Spurs
76,95,Portland Trail Blazers,Vancouver Grizzlies
71,87,Atlanta Hawks,Chicago Bulls
79,90,Utah Jazz,Dallas Mavericks
101,108,Boston Celtics,Miami Heat
74,70,San Antonio Spurs,Minnesota Timberwolves
90,86,Detroit Pistons,Philadelphia 76ers
95,112,Sacramento Kings,Phoenix Suns
90,71,Golden State Warriors,Seattle SuperSonics
77,91,Milwaukee Bucks,Toronto Raptors
77,87,Cleveland Cavaliers,Charlotte Hornets
98,103,Los Angeles Lakers,Denver Nuggets
82,89,Seattle SuperSonics,Golden State Warriors
92,82,Sacramento Kings,Houston Rockets
81,89,Orlando Magic,New Jersey Nets
101,88,Washington Wizards,New York Knicks
100,92,Indiana Pacers,Portland Trail Blazers
105,99,Los Angeles Clippers,Vancouver Grizzlies
100,88,Charlotte Hornets,Atlanta Hawks
68,73,New York Knicks,Chicago Bulls
99,89,San Antonio Spurs,Cleveland Cavaliers
95,105,Houston Rockets,Dallas Mavericks
81,87,Orlando Magic,Detroit Pistons
102,84,Toronto Raptors,Miami Heat
95,75,New Jersey Nets,Milwaukee Bucks
86,75,Los Angeles Lakers,Minnesota Timberwolves
74,82,Utah Jazz,Phoenix Suns
97,101,Indiana Pacers,Vancouver Grizzlies
